user_id,event_type,dress_id,body_match_score,style_score,final_rating
U2165,College,D91,0.9,0.88,4
U2762,Party,D76,0.7,0.7,4
U1527,College,D35,0.71,0.77,4
U2958,College,D172,0.77,0.79,4
U4246,Formal,D48,0.7,0.94,5
U729,Formal,D84,0.76,0.71,3
U3017,Party,D191,0.9,0.61,4
U3150,College,D93,0.93,0.72,3
U4259,Festival,D117,0.84,0.94,5
U753,Festival,D69,0.86,0.6,4
U4096,Formal,D89,0.88,0.65,5
U2924,Party,D192,0.91,0.65,5
U304,Formal,D39,0.88,0.95,4
U1814,College,D116,0.92,0.62,3
U1316,Wedding,D94,0.79,0.89,5
U393,Formal,D71,0.75,1.0,5
U2592,Party,D40,0.88,0.93,4
U425,Formal,D6,0.99,0.84,3
U1242,Reception,D58,0.83,0.6,3
U21,Festival,D25,0.88,0.83,5
U1834,Reception,D200,0.97,0.84,5
U1372,Festival,D88,0.61,0.77,4
U4384,College,D63,0.88,0.77,4
U1818,Party,D1,0.89,0.99,4
U3331,Festival,D197,0.64,0.76,4
U3578,Festival,D79,0.73,0.65,3
U944,Wedding,D167,0.66,0.67,5
U1911,Reception,D58,0.68,0.77,4
U3392,Festival,D119,0.7,0.72,5
U4466,Wedding,D97,0.64,0.91,4
U1757,Party,D78,0.7,0.85,3
U4231,Formal,D75,0.99,0.6,3
U3428,Formal,D71,0.99,0.84,5
U3545,Party,D56,0.96,0.71,4
U2011,Party,D192,0.94,0.94,5
U3193,Formal,D125,0.87,0.84,3
U4722,Party,D133,0.67,0.64,3
U1359,Wedding,D90,0.7,0.68,5
U3759,Wedding,D167,0.91,0.74,3
U2783,Reception,D141,0.96,0.74,4
U4540,College,D19,0.87,0.67,4
U955,College,D130,0.93,0.66,5
U1374,Party,D182,0.61,0.77,4
U2954,Reception,D57,0.67,0.69,3
U3929,Formal,D71,0.85,0.69,3
U2961,Wedding,D118,0.67,0.93,4
U2117,Reception,D152,0.87,0.61,4
U4870,Party,D158,0.73,0.73,3
U4811,Wedding,D90,0.82,0.61,3
U138,Formal,D96,0.82,0.74,5
U161,College,D19,0.7,0.75,4
U3937,Reception,D152,0.93,0.77,3
U3946,Party,D65,0.78,0.94,5
U4422,Formal,D147,0.96,0.76,4
U3792,College,D168,0.73,0.75,4
U4017,Formal,D143,0.89,0.78,5
U2715,Festival,D106,0.73,0.99,5
U3313,Festival,D9,0.67,0.63,3
U2705,College,D122,0.8,0.91,5
U2061,College,D35,0.66,0.63,5
U2231,Party,D109,0.66,0.7,5
U4037,Reception,D80,0.72,0.66,3
U1490,Formal,D104,0.65,0.94,4
U2217,College,D91,0.95,0.91,5
U3115,Party,D151,0.83,0.8,3
U1061,Festival,D108,0.72,0.63,4
U2893,Party,D40,0.99,0.67,3
U2849,Formal,D195,0.78,0.77,5
U2966,Reception,D100,0.69,0.99,5
U1972,Party,D132,0.78,0.95,5
U2543,Party,D56,0.71,0.73,3
U2849,Reception,D57,0.99,0.82,5
U2589,College,D155,0.81,0.75,3
U1831,College,D156,0.82,0.79,3
U308,Party,D165,0.87,0.84,3
U2749,Reception,D53,0.81,0.73,3
U1800,Reception,D141,0.97,0.88,5
U4568,Formal,D21,0.95,0.78,3
U215,Formal,D27,0.76,0.75,5
U2696,Festival,D43,0.83,0.83,3
U2694,Wedding,D157,0.85,0.63,5
U624,Wedding,D94,0.86,0.82,3
U102,College,D91,0.6,0.69,4
U3536,College,D146,0.62,0.65,3
U4454,College,D168,0.93,0.7,4
U3564,Formal,D159,0.75,0.89,5
U2928,Formal,D27,0.79,0.97,3
U2644,Festival,D102,0.73,1.0,5
U793,Festival,D102,1.0,0.83,3
U4477,Formal,D89,0.63,0.82,4
U2511,College,D91,0.96,0.86,5
U799,Wedding,D176,0.91,0.77,3
U3297,Formal,D74,0.99,0.98,3
U179,Festival,D79,0.73,0.92,3
U1723,Reception,D44,0.7,0.77,3
U2796,Wedding,D90,0.9,0.69,5
U2171,Party,D135,0.64,0.86,3
U3142,Formal,D179,0.85,0.67,5
U3318,Party,D192,0.79,0.97,4
U2134,Festival,D25,0.75,0.72,5
U1283,Wedding,D112,0.9,0.72,3
U731,Festival,D177,0.82,0.9,4
U2292,Festival,D111,0.92,0.63,4
U2597,Festival,D178,0.8,0.61,3
U3826,Party,D65,0.9,0.72,4
U632,Formal,D145,0.62,0.94,3
U2108,Party,D32,0.8,0.76,4
U2097,Party,D81,0.68,0.79,3
U3108,Formal,D195,0.72,0.96,5
U2262,Festival,D186,0.62,0.74,3
U2872,Formal,D164,0.92,0.68,5
U366,Party,D1,0.72,0.67,3
U781,Formal,D185,0.79,0.8,3
U654,Formal,D123,0.65,0.86,3
U1997,Formal,D64,0.84,0.87,5
U2543,Party,D180,0.64,0.66,3
U518,Formal,D14,0.92,0.96,4
U2213,Formal,D179,0.91,0.9,4
U2264,Reception,D50,0.78,0.93,5
U216,College,D146,0.87,0.68,5
U3367,Festival,D9,0.97,0.64,4
U76,Festival,D138,0.88,0.79,5
U1465,Formal,D74,0.87,0.82,4
U4311,Formal,D14,0.78,0.61,3
U4667,Reception,D120,0.84,0.9,5
U2121,College,D93,0.67,0.96,4
U644,Reception,D110,0.64,0.99,4
U3006,Festival,D114,0.98,0.81,3
U2223,Formal,D123,0.83,0.75,3
U3102,Party,D56,0.6,0.76,3
U1223,Wedding,D190,0.62,0.79,5
U1425,Party,D180,0.79,0.86,4
U2249,Formal,D71,0.83,0.92,4
U4,Wedding,D118,0.76,0.98,3
U3734,Festival,D177,0.73,0.63,4
U2025,Reception,D8,0.68,0.65,4
U3913,Party,D151,0.71,0.73,3
U613,College,D3,0.99,0.81,4
U3708,College,D199,0.64,0.99,4
U4273,Party,D1,0.88,0.97,4
U2722,Formal,D171,0.74,0.8,3
