user_id,event_type,dress_id,body_match_score,style_score,final_ratings
u3331,festival,d197,0.64,0.76,4
u3578,festival,d79,0.73,0.65,3
u944,wedding,d167,0.66,0.67,5
u1911,reception,d58,0.68,0.77,4
u3392,festival,d119,0.7,0.72,5
u4466,wedding,d97,0.64,0.91,4
u1757,party,d78,0.7,0.85,3
u4231,formal,d75,0.99,0.6,3
u3428,formal,d71,0.99,0.84,5
u3545,party,d56,0.96,0.71,4
u2011,party,d192,0.94,0.94,5
u3193,formal,d125,0.87,0.84,3
u4722,party,d133,0.67,0.64,3
u1359,wedding,d90,0.7,0.68,5
u3759,wedding,d167,0.91,0.74,3
u2783,reception,d141,0.96,0.74,4
u4540,college,d19,0.87,0.67,4
u955,college,d130,0.93,0.66,5
u1374,party,d182,0.61,0.77,4
u2954,reception,d57,0.67,0.69,3
u3929,formal,d71,0.85,0.69,3
u2961,wedding,d118,0.67,0.93,4
u2117,reception,d152,0.87,0.61,4
u4870,party,d158,0.73,0.73,3
u4811,wedding,d90,0.82,0.61,3
u138,formal,d96,0.82,0.74,5
u161,college,d19,0.7,0.75,4
u3937,reception,d152,0.93,0.77,3
u3946,party,d65,0.78,0.94,5
u4422,formal,d147,0.96,0.76,4
u3792,college,d168,0.73,0.75,4
u4017,formal,d143,0.89,0.78,5
u2715,festival,d106,0.73,0.99,5
u3313,festival,d9,0.67,0.63,3
u2705,college,d122,0.8,0.91,5
u2061,college,d35,0.66,0.63,5
u2231,party,d109,0.66,0.7,5
u4037,reception,d80,0.72,0.66,3
u1490,formal,d104,0.65,0.94,4
u2217,college,d91,0.95,0.91,5
u3115,party,d151,0.83,0.8,3
u1061,festival,d108,0.72,0.63,4
u2893,party,d40,0.99,0.67,3
u2849,formal,d195,0.78,0.77,5
u2966,reception,d100,0.69,0.99,5
u1972,party,d132,0.78,0.95,5
u2543,party,d56,0.71,0.73,3
u2849,reception,d57,0.99,0.82,5
u2589,college,d155,0.81,0.75,3
u1831,college,d156,0.82,0.79,3
u308,party,d165,0.87,0.84,3
u2749,reception,d53,0.81,0.73,3
u1800,reception,d141,0.97,0.88,5
u4568,formal,d21,0.95,0.78,3
u215,formal,d27,0.76,0.75,5
u2696,festival,d43,0.83,0.83,3
u2694,wedding,d157,0.85,0.63,5
u624,wedding,d94,0.86,0.82,3
u102,college,d91,0.6,0.69,4
u3536,college,d146,0.62,0.65,3
u4454,college,d168,0.93,0.7,4
u3564,formal,d159,0.75,0.89,5
u2928,formal,d27,0.79,0.97,3
u2644,festival,d102,0.73,1.0,5
u793,festival,d102,1.0,0.83,3
u4477,formal,d89,0.63,0.82,4
u2511,college,d91,0.96,0.86,5
u799,wedding,d176,0.91,0.77,3
u3297,formal,d74,0.99,0.98,3
u179,festival,d79,0.73,0.92,3
u1723,reception,d44,0.7,0.77,3
u2796,wedding,d90,0.9,0.69,5
u2171,party,d135,0.64,0.86,3
u3142,formal,d179,0.85,0.67,5
u3318,party,d192,0.79,0.97,4
u2134,festival,d25,0.75,0.72,5
u1283,wedding,d112,0.9,0.72,3
u731,festival,d177,0.82,0.9,4
u2292,festival,d111,0.92,0.63,4
u2597,festival,d178,0.8,0.61,3
u3826,party,d65,0.9,0.72,4
u632,formal,d145,0.62,0.94,3
u2108,party,d32,0.8,0.76,4
u2097,party,d81,0.68,0.79,3
u3108,formal,d195,0.72,0.96,5
u2262,festival,d186,0.62,0.74,3
u2872,formal,d164,0.92,0.68,5
u366,party,d1,0.72,0.67,3
u781,formal,d185,0.79,0.8,3
u654,formal,d123,0.65,0.86,3
u1997,formal,d64,0.84,0.87,5
u2543,party,d180,0.64,0.66,3
u518,formal,d14,0.92,0.96,4
u2213,formal,d179,0.91,0.9,4
u2264,reception,d50,0.78,0.93,5
u216,college,d146,0.87,0.68,5
u3367,festival,d9,0.97,0.64,4
u76,festival,d138,0.88,0.79,5
u1465,formal,d74,0.87,0.82,4
u4311,formal,d14,0.78,0.61,3
u4667,reception,d120,0.84,0.9,5
u2121,college,d93,0.67,0.96,4
u644,reception,d110,0.64,0.99,4
u3006,festival,d114,0.98,0.81,3
u2223,formal,d123,0.83,0.75,3
u3102,party,d56,0.6,0.76,3
u1223,wedding,d190,0.62,0.79,5
u1425,party,d180,0.79,0.86,4
u2249,formal,d71,0.83,0.92,4
u4,wedding,d118,0.76,0.98,3
u3734,festival,d177,0.73,0.63,4
u2025,reception,d8,0.68,0.65,4
u3913,party,d151,0.71,0.73,3
u613,college,d3,0.99,0.81,4
u3708,college,d199,0.64,0.99,4
u4273,party,d1,0.88,0.97,4
u2722,formal,d171,0.74,0.8,3
u1618,party,d135,0.93,0.9,5
u2594,formal,d22,0.95,0.71,4
u1789,college,d33,0.8,0.67,4
u1565,reception,d20,0.62,0.95,4
u3604,wedding,d97,0.99,0.8,5
u4998,party,d192,0.98,0.96,3
u2516,festival,d49,0.92,0.76,4
u353,party,d109,0.85,0.63,4
u4907,party,d192,0.67,0.66,3
u4472,college,d70,0.94,0.63,5
u306,college,d172,0.98,0.69,5
u4416,college,d13,0.89,0.84,4
u4220,party,d1,0.74,0.79,4
u1118,party,d54,0.88,0.61,4
u3437,college,d3,0.92,0.74,3
u3827,festival,d69,0.68,0.72,5
u2830,wedding,d97,0.66,0.86,5
u1749,formal,d27,0.88,0.89,3
u1281,wedding,d86,0.84,0.77,4
u761,formal,d89,0.8,0.64,5
u187,wedding,d160,0.61,0.65,3
u2250,festival,d102,0.75,0.61,5
u487,wedding,d97,0.67,0.97,5
u879,wedding,d82,0.9,0.82,3
u3759,party,d132,0.89,0.73,5
u1906,college,d199,0.62,0.61,4
u853,festival,d114,0.75,0.88,3
u2175,college,d124,0.82,0.8,4
u2597,college,d168,0.87,0.96,5
u3414,party,d99,0.95,0.67,5
