product_id,product_name,hair_type,routine_type
9822,serum l 798,high porosity,Treatment
9821,hair mask k 827,scalp issues,Treatment
3346,conditioner f 142,low porosity,Wash
4492,hair mask c 287,low porosity,Treatment
2950,hair mask o 276,high porosity,Treatment
8117,shampoo a 41,low porosity,Wash
2177,serum l 581,high porosity,Treatment
6857,shampoo m 946,low porosity,Wash
3946,hair mask c 212,low porosity,Treatment
6967,hair mask g 790,scalp issues,Treatment
2056,shampoo e 737,high porosity,Wash
4162,conditioner j 99,low porosity,Wash
7463,serum l 346,high porosity,Treatment
4797,hair mask c 315,low porosity,Treatment
5408,shampoo i 410,high porosity,Wash
6760,hair mask c 331,low porosity,Treatment
8565,hair mask g 974,scalp issues,Treatment
5592,serum l 351,high porosity,Treatment
7164,shampoo a 571,low porosity,Wash
4044,conditioner f 168,low porosity,Wash
2443,conditioner b 430,high porosity,Wash
1674,hair mask o 958,high porosity,Treatment
9240,conditioner b 925,high porosity,Wash
3758,hair mask o 544,high porosity,Treatment
2759,conditioner b 223,high porosity,Wash
5617,shampoo m 440,low porosity,Wash
9176,conditioner n 932,scalp issues,Wash
4069,shampoo e 439,high porosity,Wash
6425,conditioner n 675,scalp issues,Wash
2055,conditioner b 428,high porosity,Wash
9997,shampoo a 731,low porosity,Wash
7553,shampoo m 860,low porosity,Wash
7317,conditioner f 886,low porosity,Wash
5720,conditioner f 865,low porosity,Wash
9435,shampoo i 995,high porosity,Wash
7585,hair mask g 442,scalp issues,Treatment
2219,hair mask k 990,scalp issues,Treatment
6326,conditioner f 476,low porosity,Wash
8654,hair mask g 288,scalp issues,Treatment
6030,conditioner j 996,low porosity,Wash
6270,shampoo e 202,high porosity,Wash
8182,shampoo e 269,high porosity,Wash
9267,serum h 126,low porosity,Treatment
9155,hair mask c 28,low porosity,Treatment
5672,conditioner b 769,high porosity,Wash
9250,serum h 119,low porosity,Treatment
9785,conditioner n 857,scalp issues,Wash
2569,serum d 978,scalp issues,Treatment
7355,conditioner n 26,scalp issues,Wash
1360,shampoo e 15,high porosity,Wash
7688,serum h 451,low porosity,Treatment
6651,shampoo a 490,low porosity,Wash
8596,hair mask c 257,low porosity,Treatment
1088,hair mask c 601,low porosity,Treatment
7127,conditioner f 335,low porosity,Wash
6567,hair mask o 255,high porosity,Treatment
2955,shampoo e 276,high porosity,Wash
3783,serum h 295,low porosity,Treatment
2334,hair mask g 775,scalp issues,Treatment
8270,serum d 924,scalp issues,Treatment
5140,hair mask k 290,scalp issues,Treatment
5827,conditioner j 295,low porosity,Wash
5565,conditioner j 807,low porosity,Wash
2878,serum d 185,scalp issues,Treatment
9924,conditioner b 665,high porosity,Wash
9699,shampoo e 348,high porosity,Wash
727,shampoo e 149,high porosity,Wash
1146,shampoo m 984,low porosity,Wash
8170,hair mask o 371,high porosity,Treatment
2390,shampoo e 542,high porosity,Wash
709,serum l 553,high porosity,Treatment
9675,serum l 243,high porosity,Treatment
3399,shampoo a 323,low porosity,Wash
1899,conditioner f 404,low porosity,Wash
8352,shampoo a 65,low porosity,Wash
5972,shampoo a 127,low porosity,Wash
5802,conditioner b 329,high porosity,Wash
5341,serum l 94,high porosity,Treatment
9766,serum h 289,low porosity,Treatment
5206,conditioner n 3,scalp issues,Wash
907,serum d 545,scalp issues,Treatment
6736,hair mask k 486,scalp issues,Treatment
4572,serum h 901,low porosity,Treatment
3642,conditioner j 67,low porosity,Wash
3972,serum l 423,high porosity,Treatment
7674,shampoo i 890,high porosity,Wash
9677,hair mask o 410,high porosity,Treatment
2633,conditioner b 459,high porosity,Wash
2153,shampoo e 110,high porosity,Wash
2148,shampoo e 542,high porosity,Wash
6532,conditioner f 530,low porosity,Wash
213,conditioner n 334,scalp issues,Wash
8211,shampoo a 725,low porosity,Wash
7819,conditioner j 191,low porosity,Wash
9611,hair mask o 952,high porosity,Treatment
271,shampoo a 468,low porosity,Wash
9380,shampoo a 38,low porosity,Wash
614,conditioner n 298,scalp issues,Wash
4006,shampoo e 134,high porosity,Wash
6340,serum d 557,scalp issues,Treatment
6818,conditioner f 713,low porosity,Wash
5345,shampoo e 744,high porosity,Wash
3015,conditioner j 798,low porosity,Wash
5215,shampoo a 966,low porosity,Wash
3969,serum h 848,low porosity,Treatment
2210,conditioner n 762,scalp issues,Wash
2327,hair mask k 339,scalp issues,Treatment
4855,conditioner f 488,low porosity,Wash
7514,shampoo i 718,high porosity,Wash
7239,hair mask g 588,scalp issues,Treatment
5911,serum l 344,high porosity,Treatment
2855,hair mask g 449,scalp issues,Treatment
4463,serum d 472,scalp issues,Treatment
2928,hair mask k 166,scalp issues,Treatment
6259,hair mask c 280,low porosity,Treatment
7685,serum h 176,low porosity,Treatment
810,shampoo a 387,low porosity,Wash
5669,conditioner f 698,low porosity,Wash
7498,shampoo e 955,high porosity,Wash
4500,shampoo m 107,low porosity,Wash
8107,shampoo e 657,high porosity,Wash
1032,hair mask g 843,scalp issues,Treatment
2477,conditioner f 689,low porosity,Wash
7473,hair mask c 212,low porosity,Treatment
9609,conditioner f 792,low porosity,Wash
8344,shampoo m 98,low porosity,Wash
9883,hair mask o 69,high porosity,Treatment
7497,conditioner f 31,low porosity,Wash
4325,hair mask g 723,scalp issues,Treatment
9180,conditioner b 223,high porosity,Wash
2466,hair mask k 204,scalp issues,Treatment
9838,serum d 31,scalp issues,Treatment
106,conditioner b 630,high porosity,Wash
2727,shampoo i 83,high porosity,Wash
6378,serum h 606,low porosity,Treatment
2152,serum l 783,high porosity,Treatment
7744,hair mask g 709,scalp issues,Treatment
5838,hair mask c 228,low porosity,Treatment
3143,hair mask c 465,low porosity,Treatment
9620,hair mask k 346,scalp issues,Treatment
7113,hair mask o 5,high porosity,Treatment
9993,conditioner f 267,low porosity,Wash
7006,conditioner n 522,scalp issues,Wash
9059,hair mask k 602,scalp issues,Treatment
4660,serum h 597,low porosity,Treatment
773,hair mask g 312,scalp issues,Treatment
9095,conditioner j 2,low porosity,Wash
3777,conditioner j 106,low porosity,Wash
243,serum d 151,scalp issues,Treatment
9852,serum d 442,scalp issues,Treatment
1125,hair mask o 191,high porosity,Treatment
4231,hair mask o 613,high porosity,Treatment
7013,conditioner n 243,scalp issues,Wash
6773,hair mask c 986,low porosity,Treatment
7143,conditioner b 163,high porosity,Wash
5673,hair mask c 71,low porosity,Treatment
8368,conditioner b 614,high porosity,Wash
5380,hair mask c 595,low porosity,Treatment
9438,shampoo a 369,low porosity,Wash
2722,shampoo a 719,low porosity,Wash
5067,shampoo m 618,low porosity,Wash
382,conditioner n 213,scalp issues,Wash
6836,shampoo i 310,high porosity,Wash
334,hair mask g 326,scalp issues,Treatment
320,shampoo a 836,low porosity,Wash
8954,hair mask k 363,scalp issues,Treatment
549,serum h 331,low porosity,Treatment
8785,hair mask c 602,low porosity,Treatment
1243,conditioner b 147,high porosity,Wash
1403,conditioner n 969,scalp issues,Wash
8600,serum l 827,high porosity,Treatment
5809,serum d 381,scalp issues,Treatment
3474,serum l 391,high porosity,Treatment
2064,hair mask g 395,scalp issues,Treatment
4391,hair mask o 165,high porosity,Treatment
9710,conditioner f 604,low porosity,Wash
8257,hair mask o 66,high porosity,Treatment
501,conditioner f 395,low porosity,Wash
742,conditioner j 899,low porosity,Wash
969,serum h 424,low porosity,Treatment
8532,conditioner n 687,scalp issues,Wash
2367,hair mask c 299,low porosity,Treatment
2258,shampoo e 815,high porosity,Wash
3741,hair mask g 59,scalp issues,Treatment
3949,hair mask g 341,scalp issues,Treatment
601,conditioner b 694,high porosity,Wash
6620,hair mask c 639,low porosity,Treatment
870,shampoo i 344,high porosity,Wash
2776,shampoo a 618,low porosity,Wash
3196,hair mask k 864,scalp issues,Treatment
7191,conditioner n 932,scalp issues,Wash
6056,conditioner n 514,scalp issues,Wash
7346,serum d 827,scalp issues,Treatment
729,shampoo i 536,high porosity,Wash
6086,shampoo e 894,high porosity,Wash
6765,hair mask k 334,scalp issues,Treatment
1035,serum d 594,scalp issues,Treatment
9249,shampoo e 507,high porosity,Wash
6474,hair mask k 894,scalp issues,Treatment
4619,shampoo a 770,low porosity,Wash
4624,conditioner j 852,low porosity,Wash
2676,serum d 344,scalp issues,Treatment
2497,conditioner f 952,low porosity,Wash
5286,shampoo a 679,low porosity,Wash
5773,hair mask o 300,high porosity,Treatment
9267,shampoo a 306,low porosity,Wash
9055,conditioner n 514,scalp issues,Wash
2804,conditioner n 856,scalp issues,Wash
3458,conditioner n 31,scalp issues,Wash
2249,conditioner n 730,scalp issues,Wash
2257,conditioner f 104,low porosity,Wash
4332,hair mask k 472,scalp issues,Treatment
6779,hair mask k 746,scalp issues,Treatment
8539,shampoo i 206,high porosity,Wash
6170,serum d 270,scalp issues,Treatment
4522,hair mask o 252,high porosity,Treatment
9206,shampoo m 365,low porosity,Wash
1090,shampoo m 897,low porosity,Wash
6761,hair mask c 93,low porosity,Treatment
2427,hair mask g 524,scalp issues,Treatment
5129,serum d 835,scalp issues,Treatment
3849,conditioner b 613,high porosity,Wash
4653,conditioner b 7,high porosity,Wash
3643,conditioner b 553,high porosity,Wash
1568,shampoo a 676,low porosity,Wash
470,serum d 941,scalp issues,Treatment
5791,shampoo a 920,low porosity,Wash
1870,conditioner j 912,low porosity,Wash
2520,conditioner b 641,high porosity,Wash
403,hair mask o 708,high porosity,Treatment
2460,conditioner f 871,low porosity,Wash
3536,shampoo i 179,high porosity,Wash
1654,hair mask k 23,scalp issues,Treatment
9399,serum h 362,low porosity,Treatment
5463,shampoo a 520,low porosity,Wash
9889,conditioner j 798,low porosity,Wash
4813,shampoo m 704,low porosity,Wash
9806,conditioner f 213,low porosity,Wash
3139,conditioner f 359,low porosity,Wash
5677,hair mask g 918,scalp issues,Treatment
128,hair mask k 629,scalp issues,Treatment
5521,conditioner b 725,high porosity,Wash
6329,conditioner j 961,low porosity,Wash
7045,conditioner b 501,high porosity,Wash
7833,hair mask o 222,high porosity,Treatment
7124,serum d 656,scalp issues,Treatment
4870,hair mask k 427,scalp issues,Treatment
9838,conditioner f 517,low porosity,Wash
5338,conditioner n 195,scalp issues,Wash
8658,shampoo e 479,high porosity,Wash
972,shampoo m 357,low porosity,Wash
8896,conditioner f 254,low porosity,Wash
8693,conditioner j 892,low porosity,Wash
3825,shampoo i 104,high porosity,Wash
8186,serum d 254,scalp issues,Treatment
6025,shampoo i 793,high porosity,Wash
2409,hair mask k 376,scalp issues,Treatment
8417,shampoo i 329,high porosity,Wash
8523,conditioner n 338,scalp issues,Wash
6550,conditioner b 115,high porosity,Wash
4331,hair mask c 786,low porosity,Treatment
4658,serum h 397,low porosity,Treatment
7198,hair mask g 237,scalp issues,Treatment
3309,hair mask o 865,high porosity,Treatment
7483,hair mask g 763,scalp issues,Treatment
2946,hair mask c 291,low porosity,Treatment
3405,shampoo m 860,low porosity,Wash
3712,serum h 30,low porosity,Treatment
9067,conditioner b 205,unknown,Wash
1292,serum l 135,high porosity,Treatment
5511,hair mask c 656,low porosity,Treatment
8905,conditioner j 29,low porosity,Wash
9400,conditioner b 617,high porosity,Wash
7852,hair mask k 581,scalp issues,Treatment
2081,conditioner j 691,low porosity,Wash
7238,serum d 166,scalp issues,Treatment
6715,hair mask o 591,high porosity,Treatment
4641,serum d 800,scalp issues,Treatment
7008,hair mask k 843,scalp issues,Treatment
8609,serum h 574,low porosity,Treatment
1161,conditioner b 538,high porosity,Wash
9884,shampoo i 87,high porosity,Wash
1328,shampoo m 848,low porosity,Wash
4424,serum h 735,low porosity,Treatment
4691,conditioner j 74,low porosity,Wash
2183,serum l 665,high porosity,Treatment
1863,serum l 897,high porosity,Treatment
121,shampoo m 720,low porosity,Wash
2216,conditioner b 343,high porosity,Wash
2982,serum l 646,high porosity,Treatment
659,shampoo i 623,high porosity,Wash
6050,hair mask g 285,scalp issues,Treatment
1306,serum d 918,scalp issues,Treatment
8100,shampoo a 618,low porosity,Wash
6186,conditioner n 313,scalp issues,Wash
6300,shampoo a 3,low porosity,Wash
2578,serum l 46,high porosity,Treatment
8855,shampoo i 233,high porosity,Wash
5702,shampoo e 906,high porosity,Wash
8055,conditioner n 120,scalp issues,Wash
6545,shampoo i 67,high porosity,Wash
8120,shampoo m 498,low porosity,Wash
8097,serum h 18,low porosity,Treatment
9697,conditioner f 801,low porosity,Wash
9356,serum h 262,low porosity,Treatment
7828,conditioner n 16,scalp issues,Wash
5427,serum l 227,high porosity,Treatment
9606,serum l 341,high porosity,Treatment
7480,hair mask g 316,scalp issues,Treatment
8124,hair mask c 62,low porosity,Treatment
4522,hair mask g 321,scalp issues,Treatment
6123,shampoo m 880,low porosity,Wash
3764,conditioner j 245,low porosity,Wash
1443,hair mask o 939,high porosity,Treatment
3206,hair mask g 110,scalp issues,Treatment
6816,serum h 204,low porosity,Treatment
6203,serum l 393,high porosity,Treatment
7331,serum h 770,low porosity,Treatment
9906,serum h 261,low porosity,Treatment
1752,serum d 698,scalp issues,Treatment
9702,serum h 118,low porosity,Treatment
6158,conditioner b 208,high porosity,Wash
5657,hair mask g 352,scalp issues,Treatment
4404,conditioner b 196,high porosity,Wash
5862,conditioner j 112,low porosity,Wash
5844,hair mask k 452,scalp issues,Treatment
7326,hair mask o 938,high porosity,Treatment
3608,shampoo a 255,low porosity,Wash
6165,serum d 502,scalp issues,Treatment
9973,conditioner j 195,low porosity,Wash
5764,shampoo i 246,high porosity,Wash
7766,hair mask g 255,scalp issues,Treatment
7097,conditioner j 613,low porosity,Wash
8264,shampoo e 372,high porosity,Wash
7301,serum d 634,scalp issues,Treatment
5430,serum h 545,low porosity,Treatment
9699,shampoo a 293,low porosity,Wash
7985,conditioner b 968,high porosity,Wash
7412,shampoo a 573,low porosity,Wash
5781,conditioner b 835,high porosity,Wash
5070,serum l 257,high porosity,Treatment
1876,hair mask c 61,low porosity,Treatment
8782,conditioner f 631,low porosity,Wash
5350,hair mask c 992,low porosity,Treatment
9314,serum l 822,unknown,Treatment
4774,serum l 604,high porosity,Treatment
3401,hair mask g 784,scalp issues,Treatment
7902,shampoo e 279,high porosity,Wash
293,conditioner n 660,scalp issues,Wash
8121,conditioner j 922,low porosity,Wash
5562,conditioner j 86,low porosity,Wash
4807,hair mask c 96,low porosity,Treatment
7155,conditioner f 643,low porosity,Wash
8315,shampoo i 624,high porosity,Wash
1241,conditioner j 718,low porosity,Wash
6583,conditioner b 609,high porosity,Wash
6644,hair mask o 755,high porosity,Treatment
7244,serum l 220,high porosity,Treatment
3453,shampoo i 841,high porosity,Wash
4186,serum d 645,scalp issues,Treatment
5759,conditioner b 560,high porosity,Wash
3273,serum l 655,high porosity,Treatment
6401,serum l 487,high porosity,Treatment
8243,shampoo m 386,low porosity,Wash
6970,serum h 144,low porosity,Treatment
8207,conditioner j 711,low porosity,Wash
7437,serum h 802,low porosity,Treatment
2211,serum h 137,low porosity,Treatment
5432,conditioner b 316,high porosity,Wash
9341,hair mask k 226,scalp issues,Treatment
394,hair mask o 173,high porosity,Treatment
9628,conditioner n 848,scalp issues,Wash
5952,shampoo a 105,low porosity,Wash
9695,serum h 820,low porosity,Treatment
3578,conditioner f 618,low porosity,Wash
7466,conditioner n 762,scalp issues,Wash
2979,conditioner j 23,low porosity,Wash
9272,conditioner b 353,high porosity,Wash
4477,shampoo e 850,high porosity,Wash
6681,serum l 151,high porosity,Treatment
6155,serum l 776,high porosity,Treatment
5429,conditioner b 271,high porosity,Wash
5813,hair mask k 142,scalp issues,Treatment
7911,shampoo e 250,high porosity,Wash
1334,hair mask k 301,scalp issues,Treatment
2759,conditioner n 65,scalp issues,Wash
5574,shampoo m 297,low porosity,Wash
8721,shampoo a 369,low porosity,Wash
1571,conditioner n 906,scalp issues,Wash
9919,hair mask c 387,low porosity,Treatment
8463,hair mask k 978,scalp issues,Treatment
1063,shampoo a 496,low porosity,Wash
7348,hair mask g 462,scalp issues,Treatment
4863,hair mask k 695,scalp issues,Treatment
1622,serum h 29,low porosity,Treatment
6445,conditioner j 825,low porosity,Wash
6318,hair mask g 266,scalp issues,Treatment
3684,hair mask g 78,scalp issues,Treatment
5598,conditioner b 169,high porosity,Wash
8942,hair mask o 471,high porosity,Treatment
2189,shampoo m 334,low porosity,Wash
2927,shampoo e 640,high porosity,Wash
487,conditioner n 161,scalp issues,Wash
3991,serum h 671,low porosity,Treatment
9758,serum l 731,high porosity,Treatment
8796,conditioner f 189,low porosity,Wash
1551,shampoo a 816,low porosity,Wash
1312,hair mask k 348,scalp issues,Treatment
4180,shampoo a 265,low porosity,Wash
9409,hair mask k 884,scalp issues,Treatment
3858,hair mask k 248,scalp issues,Treatment
142,conditioner b 305,high porosity,Wash
7558,shampoo i 683,high porosity,Wash
5506,hair mask g 971,scalp issues,Treatment
9539,hair mask k 867,scalp issues,Treatment
7089,hair mask c 738,low porosity,Treatment
8868,conditioner n 209,scalp issues,Wash
6310,shampoo a 427,low porosity,Wash
32,shampoo i 847,high porosity,Wash
9878,hair mask o 554,high porosity,Treatment
7265,serum d 548,scalp issues,Treatment
8258,serum h 603,low porosity,Treatment
1197,conditioner n 570,scalp issues,Wash
4336,hair mask c 431,low porosity,Treatment
2678,shampoo i 339,high porosity,Wash
7582,serum l 693,high porosity,Treatment
7059,conditioner n 747,scalp issues,Wash
7752,conditioner n 18,scalp issues,Wash
1904,shampoo e 730,high porosity,Wash
8151,conditioner f 360,low porosity,Wash
212,shampoo i 201,high porosity,Wash
3427,hair mask o 792,high porosity,Treatment
7945,hair mask c 686,low porosity,Treatment
806,conditioner j 11,low porosity,Wash
2553,conditioner f 527,low porosity,Wash
231,conditioner b 85,high porosity,Wash
6185,hair mask o 886,high porosity,Treatment
3009,conditioner j 608,low porosity,Wash
3088,shampoo m 256,low porosity,Wash
2024,shampoo i 643,high porosity,Wash
447,conditioner n 92,scalp issues,Wash
5468,hair mask g 479,scalp issues,Treatment
7088,serum l 250,high porosity,Treatment
3224,conditioner f 393,low porosity,Wash
7998,shampoo a 516,low porosity,Wash
3905,conditioner j 541,low porosity,Wash
7993,shampoo i 570,high porosity,Wash
5490,serum l 484,high porosity,Treatment
4183,shampoo i 933,high porosity,Wash
6497,serum d 289,scalp issues,Treatment
6758,shampoo i 196,high porosity,Wash
5968,conditioner j 544,low porosity,Wash
6192,serum d 154,scalp issues,Treatment
2072,shampoo i 33,high porosity,Wash
3505,conditioner n 963,scalp issues,Wash
3742,conditioner n 288,scalp issues,Wash
2413,conditioner n 205,scalp issues,Wash
5023,conditioner f 288,low porosity,Wash
9416,hair mask k 707,scalp issues,Treatment
1968,hair mask g 855,scalp issues,Treatment
5996,hair mask c 117,low porosity,Treatment
8341,hair mask g 267,scalp issues,Treatment
1122,serum h 248,low porosity,Treatment
6954,hair mask c 911,low porosity,Treatment
4246,conditioner j 261,low porosity,Wash
3443,conditioner n 990,scalp issues,Wash
1894,shampoo a 453,low porosity,Wash
4560,serum h 597,low porosity,Treatment
2175,conditioner f 256,low porosity,Wash
8983,serum h 743,low porosity,Treatment
3936,hair mask k 530,scalp issues,Treatment
8724,hair mask k 398,scalp issues,Treatment
1743,conditioner n 644,scalp issues,Wash
3184,hair mask c 546,low porosity,Treatment
2764,hair mask g 172,scalp issues,Treatment
9313,conditioner f 775,low porosity,Wash
3842,serum h 616,low porosity,Treatment
7820,shampoo i 675,high porosity,Wash
2463,shampoo m 845,low porosity,Wash
4800,conditioner b 97,high porosity,Wash
4285,conditioner f 188,low porosity,Wash
2295,hair mask k 582,scalp issues,Treatment
3046,shampoo a 348,low porosity,Wash
6216,hair mask c 117,low porosity,Treatment
9798,shampoo a 847,low porosity,Wash
8879,hair mask o 585,high porosity,Treatment
4260,hair mask k 479,scalp issues,Treatment
1380,hair mask g 873,scalp issues,Treatment
1746,serum l 551,high porosity,Treatment
63,serum d 407,scalp issues,Treatment
4412,hair mask g 208,scalp issues,Treatment
5476,conditioner n 329,scalp issues,Wash
4807,hair mask c 844,low porosity,Treatment
1280,hair mask g 583,scalp issues,Treatment
1665,conditioner b 712,high porosity,Wash
2459,hair mask o 147,high porosity,Treatment
6554,hair mask o 540,high porosity,Treatment
9028,hair mask o 176,high porosity,Treatment
9949,hair mask g 759,scalp issues,Treatment
8134,serum h 154,low porosity,Treatment
976,conditioner n 580,unknown,Wash
4184,conditioner j 512,low porosity,Wash
5682,serum d 594,scalp issues,Treatment
4138,serum h 285,low porosity,Treatment
8276,hair mask g 513,scalp issues,Treatment
5589,conditioner n 93,scalp issues,Wash
7273,serum l 848,high porosity,Treatment
555,serum l 651,high porosity,Treatment
7642,shampoo a 120,low porosity,Wash
1302,serum h 163,low porosity,Treatment
428,hair mask g 134,scalp issues,Treatment
232,hair mask g 415,scalp issues,Treatment
6966,shampoo i 570,high porosity,Wash
2432,conditioner j 278,low porosity,Wash
9397,conditioner b 846,high porosity,Wash
7430,hair mask k 644,scalp issues,Treatment
1104,shampoo m 39,low porosity,Wash
4176,hair mask k 849,scalp issues,Treatment
6335,shampoo m 327,low porosity,Wash
3811,serum h 106,low porosity,Treatment
4797,conditioner n 629,scalp issues,Wash
2792,hair mask o 771,high porosity,Treatment
3196,hair mask c 476,low porosity,Treatment
9870,hair mask k 726,scalp issues,Treatment
9144,hair mask g 536,scalp issues,Treatment
3350,conditioner n 145,scalp issues,Wash
6710,conditioner b 755,high porosity,Wash
7064,serum l 977,high porosity,Treatment
7636,conditioner b 253,high porosity,Wash
4064,conditioner f 114,low porosity,Wash
7895,conditioner f 678,low porosity,Wash
9585,hair mask o 729,high porosity,Treatment
6520,hair mask c 239,low porosity,Treatment
2360,hair mask c 362,low porosity,Treatment
5396,hair mask c 508,low porosity,Treatment
8482,shampoo i 630,high porosity,Wash
6283,hair mask o 962,high porosity,Treatment
9100,shampoo m 793,low porosity,Wash
5731,hair mask c 348,low porosity,Treatment
7494,hair mask k 635,scalp issues,Treatment
4354,hair mask k 667,scalp issues,Treatment
5196,serum d 234,scalp issues,Treatment
3823,conditioner n 106,scalp issues,Wash
2492,conditioner b 103,high porosity,Wash
2830,serum h 244,low porosity,Treatment
7161,conditioner n 999,scalp issues,Wash
