product_id,product_name,skin_type,product_category,price_range
575,Cleanser B 731,Dry,Cleanser,Medium
6391,Toner I 820,Oily,Toner,Medium
2975,Serum E 169,Oily,Serum,High
1690,Toner D 465,Sensitive,Toner,Low
7073,Sunscreen M 430,Oily,Sunscreen,Medium
2501,Sunscreen C 894,Normal,Sunscreen,Medium
663,Moisturizer K 559,Normal,Moisturizer,Low
1802,Toner S 445,Normal,Toner,Medium
7578,Sunscreen H 71,Sensitive,Sunscreen,Medium
46,Sunscreen M 339,Oily,Sunscreen,Medium
6715,Moisturizer A 209,Oily,Moisturizer,Low
9749,Cleanser L 695,Sensitive,Cleanser,Medium
5845,Moisturizer F 37,Dry,Moisturizer,Medium
3232,Moisturizer F 970,Dry,Moisturizer,Medium
7666,Serum J 609,Dry,Serum,High
5008,Sunscreen C 491,Normal,Sunscreen,Medium
8548,Moisturizer K 201,Normal,Moisturizer,Low
3666,Cleanser G 530,Normal,Cleanser,Low
5553,Sunscreen C 152,Normal,Sunscreen,Medium
1296,Toner I 944,Oily,Toner,Medium
5754,Serum O 186,Normal,Serum,High
3575,Cleanser B 456,Dry,Cleanser,Medium
5144,Sunscreen M 219,Oily,Sunscreen,Medium
4407,Sunscreen C 299,Normal,Sunscreen,Medium
5020,Toner D 304,Sensitive,Toner,Low
6339,Serum T 793,Sensitive,Serum,High
8405,Toner D 408,Sensitive,Toner,Low
1806,Toner D 904,Sensitive,Toner,Low
1545,Moisturizer P 337,Sensitive,Moisturizer,Medium
2364,Cleanser B 97,Dry,Cleanser,Medium
3792,Moisturizer A 540,Oily,Moisturizer,Low
4186,Moisturizer K 914,Normal,Moisturizer,Low
3617,Serum E 225,Oily,Serum,High
7835,Moisturizer K 509,Normal,Moisturizer,Low
9395,Sunscreen R 545,Dry,Sunscreen,Medium
8178,Toner S 175,Normal,Toner,Medium
79,Cleanser G 500,Normal,Cleanser,Low
3499,Cleanser L 418,Sensitive,Cleanser,Medium
1373,Moisturizer P 531,Sensitive,Moisturizer,Medium
8454,Moisturizer K 128,Normal,Moisturizer,Low
2297,Serum E 619,Oily,Serum,High
361,Cleanser G 913,Normal,Cleanser,Low
2923,Moisturizer K 942,Normal,Moisturizer,Low
1562,Serum E 937,Oily,Serum,High
2533,Serum O 846,Normal,Serum,High
144,Serum T 723,Sensitive,Serum,High
5564,Moisturizer A 286,Oily,Moisturizer,Low
3840,Serum E 702,Oily,Serum,High
9388,Sunscreen C 651,Normal,Sunscreen,Medium
9228,Moisturizer P 846,Sensitive,Moisturizer,Medium
9069,Cleanser G 915,Normal,Cleanser,Low
8628,Toner D 102,Sensitive,Toner,Low
5305,Cleanser L 696,Sensitive,Cleanser,Medium
1328,Serum J 805,Dry,Serum,High
1867,Cleanser L 541,Sensitive,Cleanser,Medium
7005,Cleanser Q 407,Oily,Cleanser,Low
4164,Sunscreen R 991,Dry,Sunscreen,Medium
6294,Serum E 31,Oily,Serum,High
1758,Cleanser Q 392,Oily,Cleanser,Low
834,Toner D 996,Sensitive,Toner,Low
9868,Sunscreen R 492,Dry,Sunscreen,Medium
1327,Serum E 951,Oily,Serum,High
1297,Moisturizer F 252,Dry,Moisturizer,Medium
4465,Serum J 898,Dry,Serum,High
4916,Cleanser B 535,Dry,Cleanser,Medium
3452,Serum J 968,Dry,Serum,High
2284,Toner I 162,Oily,Toner,Medium
5016,Cleanser L 682,Sensitive,Cleanser,Medium
9347,Toner I 406,Oily,Toner,Medium
4176,Sunscreen H 280,Sensitive,Sunscreen,Medium
730,Toner D 739,Sensitive,Toner,Low
352,Toner D 244,Sensitive,Toner,Low
7058,Serum J 388,Dry,Serum,High
6556,Toner N 347,Dry,Toner,Low
3431,Cleanser B 851,Dry,Cleanser,Medium
892,Moisturizer K 913,Normal,Moisturizer,Low
3251,Toner I 450,Oily,Toner,Medium
5860,Serum O 119,Normal,Serum,High
6217,Moisturizer P 403,Sensitive,Moisturizer,Medium
9404,Sunscreen M 213,Oily,Sunscreen,Medium
7250,Toner I 338,Oily,Toner,Medium
8258,Sunscreen R 800,Dry,Sunscreen,Medium
7167,Serum O 980,Normal,Serum,High
4947,Sunscreen H 458,Sensitive,Sunscreen,Medium
5091,Toner D 756,Sensitive,Toner,Low
674,Cleanser G 770,Normal,Cleanser,Low
1487,Serum J 696,Dry,Serum,High
2257,Moisturizer K 567,Normal,Moisturizer,Low
8655,Serum E 827,Oily,Serum,High
518,Sunscreen R 179,Dry,Sunscreen,Medium
7690,Sunscreen H 784,Sensitive,Sunscreen,Medium
6748,Moisturizer A 262,Oily,Moisturizer,Low
33,Serum T 804,Sensitive,Serum,High
9843,Toner I 888,Oily,Toner,Medium
9963,Sunscreen M 208,Oily,Sunscreen,Medium
8408,Sunscreen H 813,Sensitive,Sunscreen,Medium
2118,Toner D 551,Sensitive,Toner,Low
4240,Serum J 743,Dry,Serum,High
658,Cleanser L 247,Sensitive,Cleanser,Medium
9349,Toner N 538,Dry,Toner,Low
9491,Cleanser B 407,Dry,Cleanser,Medium
1361,Moisturizer K 177,Normal,Moisturizer,Low
3569,Toner I 375,Oily,Toner,Medium
148,Sunscreen M 648,Oily,Sunscreen,Medium
2796,Serum T 732,Sensitive,Serum,High
9417,Toner N 81,Dry,Toner,Low
4282,Moisturizer P 412,Sensitive,Moisturizer,Medium
8918,Cleanser B 589,Dry,Cleanser,Medium
6071,Sunscreen R 169,Dry,Sunscreen,Medium
6259,Moisturizer F 147,Dry,Moisturizer,Medium
25,Cleanser G 549,Normal,Cleanser,Low
1087,Cleanser L 415,Sensitive,Cleanser,Medium
3533,Toner S 569,Normal,Toner,Medium
8340,Toner I 518,Oily,Toner,Medium
223,Moisturizer A 153,Oily,Moisturizer,Low
8907,Sunscreen R 841,Dry,Sunscreen,Medium
9558,Cleanser L 275,Sensitive,Cleanser,Medium
4778,Toner S 768,Normal,Toner,Medium
545,Sunscreen R 834,Dry,Sunscreen,Medium
7396,Serum O 468,Normal,Serum,High
3193,Cleanser G 845,Normal,Cleanser,Low
5120,Cleanser G 409,Normal,Cleanser,Low
3500,Sunscreen M 334,Oily,Sunscreen,Medium
1465,Cleanser L 230,Sensitive,Cleanser,Medium
9994,Cleanser B 525,Dry,Cleanser,Medium
4548,Serum J 924,Dry,Serum,High
9721,Moisturizer F 592,Dry,Moisturizer,Medium
4904,Sunscreen R 411,Dry,Sunscreen,Medium
7526,Cleanser G 310,Normal,Cleanser,Low
8012,Cleanser G 680,Normal,Cleanser,Low
8382,Cleanser L 73,Sensitive,Cleanser,Medium
5385,Moisturizer P 30,Sensitive,Moisturizer,Medium
3478,Toner D 165,Sensitive,Toner,Low
168,Toner S 7,Normal,Toner,Medium
1951,Cleanser G 12,Normal,Cleanser,Low
882,Sunscreen M 34,Oily,Sunscreen,Medium
4347,Sunscreen H 757,Sensitive,Sunscreen,Medium
1173,Toner S 860,Normal,Toner,Medium
2296,Toner N 168,Dry,Toner,Low
5610,Cleanser B 550,Dry,Cleanser,Medium
3210,Serum O 835,Normal,Serum,High
2639,Moisturizer K 80,Normal,Moisturizer,Low
1014,Cleanser B 457,Dry,Cleanser,Medium
1295,Sunscreen H 935,Sensitive,Sunscreen,Medium
6218,Toner I 178,Oily,Toner,Medium
7892,Serum J 931,Dry,Serum,High
5746,Cleanser L 944,Sensitive,Cleanser,Medium
615,Serum O 103,Normal,Serum,High
647,Toner S 155,Normal,Toner,Medium
9865,Cleanser B 659,Dry,Cleanser,Medium
551,Toner S 955,Normal,Toner,Medium
4919,Toner D 943,Sensitive,Toner,Low
6324,Toner I 582,Oily,Toner,Medium
707,Sunscreen C 999,Normal,Sunscreen,Medium
3665,Moisturizer K 550,Normal,Moisturizer,Low
3106,Sunscreen H 635,Sensitive,Sunscreen,Medium
1647,Sunscreen R 753,Dry,Sunscreen,Medium
2648,Cleanser Q 28,Oily,Cleanser,Low
8856,Sunscreen H 890,Sensitive,Sunscreen,Medium
4872,Serum E 33,Oily,Serum,High
7566,Toner S 853,Normal,Toner,Medium
3332,Moisturizer F 280,Dry,Moisturizer,Medium
6721,Cleanser L 787,Sensitive,Cleanser,Medium
6249,Cleanser G 831,Normal,Cleanser,Low
6195,Cleanser L 424,Sensitive,Cleanser,Medium
4346,Moisturizer A 625,Oily,Moisturizer,Low
3091,Cleanser G 815,Normal,Cleanser,Low
5760,Toner D 171,Sensitive,Toner,Low
6096,Toner N 308,Dry,Toner,Low
8475,Serum T 441,Sensitive,Serum,High
2182,Cleanser G 797,Normal,Cleanser,Low
6335,Sunscreen M 571,Oily,Sunscreen,Medium
3115,Serum O 254,Normal,Serum,High
5512,Sunscreen C 516,Normal,Sunscreen,Medium
4190,Serum J 305,Dry,Serum,High
1996,Sunscreen C 316,Normal,Sunscreen,Medium
7876,Sunscreen M 282,Oily,Sunscreen,Medium
6322,Toner S 176,Normal,Toner,Medium
147,Serum E 397,Oily,Serum,High
612,Sunscreen C 507,Normal,Sunscreen,Medium
6593,Moisturizer P 97,Sensitive,Moisturizer,Medium
1914,Serum J 989,Dry,Serum,High
7655,Toner S 773,Normal,Toner,Medium
8769,Moisturizer A 835,Oily,Moisturizer,Low
5597,Moisturizer A 762,Oily,Moisturizer,Low
8979,Moisturizer K 620,Normal,Moisturizer,Low
1895,Sunscreen H 136,Sensitive,Sunscreen,Medium
8614,Serum E 713,Oily,Serum,High
6005,Toner I 319,Oily,Toner,Medium
9233,Serum T 935,Sensitive,Serum,High
2800,Moisturizer P 36,Sensitive,Moisturizer,Medium
5849,Toner S 830,Normal,Toner,Medium
7685,Sunscreen M 154,Oily,Sunscreen,Medium
5876,Cleanser Q 687,Oily,Cleanser,Low
8005,Cleanser G 99,Normal,Cleanser,Low
4593,Moisturizer K 943,Normal,Moisturizer,Low
3765,Moisturizer F 896,Dry,Moisturizer,Medium
5127,Sunscreen R 451,Dry,Sunscreen,Medium
3183,Toner I 121,Oily,Toner,Medium
2470,Cleanser B 465,Dry,Cleanser,Medium
9924,Serum O 69,Normal,Serum,High
803,Cleanser G 314,Normal,Cleanser,Low
1767,Moisturizer P 204,Sensitive,Moisturizer,Medium
8997,Sunscreen C 1000,Normal,Sunscreen,Medium
546,Sunscreen C 891,Normal,Sunscreen,Medium
8647,Cleanser G 283,Normal,Cleanser,Low
6128,Moisturizer K 581,Normal,Moisturizer,Low
4464,Moisturizer K 56,Normal,Moisturizer,Low
2406,Toner I 405,Oily,Toner,Medium
5434,Toner I 8,Oily,Toner,Medium
4182,Serum O 144,Normal,Serum,High
9000,Cleanser G 722,Normal,Cleanser,Low
1152,Sunscreen C 893,Normal,Sunscreen,Medium
1872,Serum O 199,Normal,Serum,High
5359,Cleanser G 796,Normal,Cleanser,Low
1104,Moisturizer A 81,Oily,Moisturizer,Low
1680,Moisturizer K 706,Normal,Moisturizer,Low
2042,Cleanser Q 983,Oily,Cleanser,Low
4814,Cleanser Q 231,Oily,Cleanser,Low
2058,Toner I 218,Oily,Toner,Medium
2705,Sunscreen M 583,Oily,Sunscreen,Medium
1149,Cleanser L 963,Sensitive,Cleanser,Medium
3897,Moisturizer P 583,Sensitive,Moisturizer,Medium
8480,Serum O 689,Normal,Serum,High
5321,Toner I 815,Oily,Toner,Medium
2712,Serum E 40,Oily,Serum,High
3927,Cleanser Q 852,Oily,Cleanser,Low
3946,Serum E 128,Oily,Serum,High
3557,Serum T 679,Sensitive,Serum,High
965,Cleanser B 220,Dry,Cleanser,Medium
7892,Toner N 947,Dry,Toner,Low
9030,Cleanser G 541,Normal,Cleanser,Low
7601,Moisturizer K 830,Normal,Moisturizer,Low
5416,Sunscreen M 880,Oily,Sunscreen,Medium
213,Cleanser B 164,Dry,Cleanser,Medium
2598,Serum E 514,Oily,Serum,High
5309,Toner I 617,Oily,Toner,Medium
6195,Cleanser Q 236,Oily,Cleanser,Low
1827,Sunscreen M 854,Oily,Sunscreen,Medium
2420,Cleanser L 103,Sensitive,Cleanser,Medium
9800,Moisturizer K 91,Normal,Moisturizer,Low
6165,Serum O 574,Normal,Serum,High
7458,Cleanser G 28,Normal,Cleanser,Low
8471,Toner S 100,Normal,Toner,Medium
4944,Sunscreen R 752,Dry,Sunscreen,Medium
787,Cleanser Q 751,Oily,Cleanser,Low
4398,Toner S 579,Normal,Toner,Medium
4548,Sunscreen R 859,Dry,Sunscreen,Medium
6454,Toner D 136,Sensitive,Toner,Low
2560,Moisturizer F 581,Dry,Moisturizer,Medium
4473,Moisturizer F 218,Dry,Moisturizer,Medium
3946,Serum T 409,Sensitive,Serum,High
2855,Moisturizer A 789,Oily,Moisturizer,Low
2835,Toner S 220,Normal,Toner,Medium
2915,Serum J 377,Dry,Serum,High
1941,Toner S 448,Normal,Toner,Medium
3439,Sunscreen H 536,Sensitive,Sunscreen,Medium
4280,Sunscreen R 870,Dry,Sunscreen,Medium
2577,Cleanser Q 163,Oily,Cleanser,Low
3679,Cleanser G 896,Normal,Cleanser,Low
9356,Sunscreen H 566,Sensitive,Sunscreen,Medium
5491,Serum E 240,Oily,Serum,High
3516,Cleanser B 815,Dry,Cleanser,Medium
2064,Serum E 902,Oily,Serum,High
7425,Moisturizer F 11,Dry,Moisturizer,Medium
3195,Sunscreen H 273,Sensitive,Sunscreen,Medium
3552,Serum T 120,Sensitive,Serum,High
3928,Cleanser B 543,Dry,Cleanser,Medium
450,Moisturizer F 921,Dry,Moisturizer,Medium
770,Cleanser B 241,Dry,Cleanser,Medium
1706,Sunscreen H 697,Sensitive,Sunscreen,Medium
3529,Sunscreen C 568,Normal,Sunscreen,Medium
2805,Moisturizer A 275,Oily,Moisturizer,Low
1154,Serum T 550,Sensitive,Serum,High
2076,Cleanser B 564,Dry,Cleanser,Medium
5724,Serum T 291,Sensitive,Serum,High
1793,Moisturizer P 768,Sensitive,Moisturizer,Medium
7053,Toner I 653,Oily,Toner,Medium
1058,Sunscreen C 958,Normal,Sunscreen,Medium
5177,Cleanser G 761,Normal,Cleanser,Low
708,Serum O 207,Normal,Serum,High
356,Moisturizer A 221,Oily,Moisturizer,Low
1789,Toner N 686,Dry,Toner,Low
8848,Moisturizer A 611,Oily,Moisturizer,Low
3588,Serum O 651,Normal,Serum,High
2536,Toner S 53,Normal,Toner,Medium
7991,Moisturizer K 984,Normal,Moisturizer,Low
8424,Sunscreen H 522,Sensitive,Sunscreen,Medium
3435,Sunscreen H 656,Sensitive,Sunscreen,Medium
657,Sunscreen M 890,Oily,Sunscreen,Medium
9110,Moisturizer A 812,Oily,Moisturizer,Low
1435,Toner D 169,Sensitive,Toner,Low
13,Cleanser L 977,Sensitive,Cleanser,Medium
653,Sunscreen R 371,Dry,Sunscreen,Medium
8845,Serum E 474,Oily,Serum,High
3130,Toner D 789,Sensitive,Toner,Low
2998,Sunscreen M 360,Oily,Sunscreen,Medium
70,Sunscreen H 258,Sensitive,Sunscreen,Medium
4184,Sunscreen C 501,Normal,Sunscreen,Medium
3144,Serum O 250,Normal,Serum,High
2107,Toner S 30,Normal,Toner,Medium
9197,Sunscreen H 40,Sensitive,Sunscreen,Medium
5159,Serum T 947,Sensitive,Serum,High
5093,Cleanser Q 615,Oily,Cleanser,Low
1166,Cleanser L 652,Sensitive,Cleanser,Medium
2535,Serum T 101,Sensitive,Serum,High
5824,Sunscreen M 391,Oily,Sunscreen,Medium
5929,Sunscreen C 835,Normal,Sunscreen,Medium
2154,Serum T 63,Sensitive,Serum,High
4168,Serum T 701,Sensitive,Serum,High
3612,Moisturizer P 173,Sensitive,Moisturizer,Medium
6439,Moisturizer A 842,Oily,Moisturizer,Low
900,Moisturizer F 96,Dry,Moisturizer,Medium
5393,Toner D 465,Sensitive,Toner,Low
2857,Serum O 671,Normal,Serum,High
6948,Cleanser L 484,Sensitive,Cleanser,Medium
4224,Toner D 824,Sensitive,Toner,Low
71,Toner N 262,Dry,Toner,Low
2288,Cleanser L 445,Sensitive,Cleanser,Medium
7526,Toner I 822,Oily,Toner,Medium
2551,Moisturizer A 518,Oily,Moisturizer,Low
3043,Serum T 995,Sensitive,Serum,High
3764,Moisturizer K 667,Normal,Moisturizer,Low
5471,Moisturizer A 313,Oily,Moisturizer,Low
9033,Toner S 453,Normal,Toner,Medium
7743,Cleanser B 816,Dry,Cleanser,Medium
8534,Sunscreen C 178,Normal,Sunscreen,Medium
9534,Serum T 7,Sensitive,Serum,High
814,Toner I 360,Oily,Toner,Medium
2802,Cleanser Q 929,Oily,Cleanser,Low
1805,Cleanser G 367,Normal,Cleanser,Low
2984,Cleanser Q 807,Oily,Cleanser,Low
6073,Cleanser B 210,Dry,Cleanser,Medium
681,Serum T 564,Sensitive,Serum,High
7817,Toner S 335,Normal,Toner,Medium
8095,Serum T 733,Sensitive,Serum,High
9481,Sunscreen H 396,Sensitive,Sunscreen,Medium
4181,Serum O 4,Normal,Serum,High
8376,Cleanser B 280,Dry,Cleanser,Medium
3353,Serum J 906,Dry,Serum,High
9830,Sunscreen R 252,Dry,Sunscreen,Medium
7770,Toner D 642,Sensitive,Toner,Low
6461,Sunscreen M 433,Oily,Sunscreen,Medium
8738,Serum E 510,Oily,Serum,High
1938,Toner N 684,Dry,Toner,Low
5908,Toner I 462,Oily,Toner,Medium
6606,Moisturizer F 622,Dry,Moisturizer,Medium
7380,Moisturizer P 229,Sensitive,Moisturizer,Medium
2423,Cleanser B 774,Dry,Cleanser,Medium
5267,Moisturizer F 79,Dry,Moisturizer,Medium
8495,Sunscreen C 755,Normal,Sunscreen,Medium
5599,Moisturizer F 363,Dry,Moisturizer,Medium
5095,Sunscreen R 195,Dry,Sunscreen,Medium
1741,Moisturizer A 426,Oily,Moisturizer,Low
1949,Sunscreen R 612,Dry,Sunscreen,Medium
8569,Moisturizer A 467,Oily,Moisturizer,Low
3309,Sunscreen C 266,Normal,Sunscreen,Medium
7469,Toner I 962,Oily,Toner,Medium
1929,Serum E 336,Oily,Serum,High
874,Toner I 180,Oily,Toner,Medium
9353,Moisturizer A 802,Oily,Moisturizer,Low
8083,Toner I 113,Oily,Toner,Medium
384,Sunscreen C 644,Normal,Sunscreen,Medium
6083,Toner I 216,Oily,Toner,Medium
9145,Toner I 388,Oily,Toner,Medium
6364,Serum E 246,Oily,Serum,High
8280,Moisturizer P 140,Sensitive,Moisturizer,Medium
6443,Cleanser G 321,Normal,Cleanser,Low
9877,Sunscreen H 482,Sensitive,Sunscreen,Medium
6034,Toner S 548,Normal,Toner,Medium
4414,Cleanser Q 146,Oily,Cleanser,Low
8790,Moisturizer P 933,Sensitive,Moisturizer,Medium
3424,Cleanser G 965,Normal,Cleanser,Low
4005,Cleanser G 782,Normal,Cleanser,Low
8905,Toner S 44,Normal,Toner,Medium
9426,Serum E 699,Oily,Serum,High
6560,Cleanser L 663,Sensitive,Cleanser,Medium
9989,Cleanser G 567,Normal,Cleanser,Low
9832,Toner D 548,Sensitive,Toner,Low
3003,Serum T 133,Sensitive,Serum,High
1993,Cleanser L 180,Sensitive,Cleanser,Medium
4832,Cleanser Q 206,Oily,Cleanser,Low
6481,Cleanser B 334,Dry,Cleanser,Medium
9267,Cleanser Q 499,Oily,Cleanser,Low
1575,Serum J 851,Dry,Serum,High
2752,Moisturizer P 141,Sensitive,Moisturizer,Medium
2678,Sunscreen C 707,Normal,Sunscreen,Medium
8709,Toner N 196,Dry,Toner,Low
8665,Toner S 18,Normal,Toner,Medium
3372,Moisturizer P 609,Sensitive,Moisturizer,Medium
118,Moisturizer K 429,Normal,Moisturizer,Low
7600,Sunscreen M 723,Oily,Sunscreen,Medium
2795,Moisturizer F 983,Dry,Moisturizer,Medium
1666,Moisturizer P 484,Sensitive,Moisturizer,Medium
2406,Serum O 496,Normal,Serum,High
7415,Toner I 123,Oily,Toner,Medium
9212,Moisturizer A 256,Oily,Moisturizer,Low
6321,Cleanser B 294,Dry,Cleanser,Medium
282,Moisturizer F 602,Dry,Moisturizer,Medium
7206,Toner N 641,Dry,Toner,Low
6709,Toner D 254,Sensitive,Toner,Low
7713,Moisturizer F 963,Dry,Moisturizer,Medium
8645,Cleanser G 532,Normal,Cleanser,Low
6933,Serum E 273,Oily,Serum,High
6811,Toner N 592,Dry,Toner,Low
9656,Moisturizer F 832,Dry,Moisturizer,Medium
8593,Toner N 791,Dry,Toner,Low
636,Toner I 697,Oily,Toner,Medium
2101,Toner D 832,Sensitive,Toner,Low
7548,Toner I 435,Oily,Toner,Medium
1474,Moisturizer F 768,Dry,Moisturizer,Medium
920,Cleanser Q 434,Oily,Cleanser,Low
3493,Moisturizer K 658,Normal,Moisturizer,Low
7834,Toner N 691,Dry,Toner,Low
4692,Toner I 586,Oily,Toner,Medium
5282,Cleanser Q 907,Oily,Cleanser,Low
4384,Serum T 969,Sensitive,Serum,High
3027,Toner I 398,Oily,Toner,Medium
9041,Moisturizer P 409,Sensitive,Moisturizer,Medium
7455,Cleanser G 672,Normal,Cleanser,Low
2502,Toner I 427,Oily,Toner,Medium
6026,Serum J 838,Dry,Serum,High
5447,Sunscreen C 394,Normal,Sunscreen,Medium
262,Toner N 526,Dry,Toner,Low
4023,Cleanser G 904,Normal,Cleanser,Low
6459,Toner D 821,Sensitive,Toner,Low
3185,Toner D 679,Sensitive,Toner,Low
334,Sunscreen C 213,Normal,Sunscreen,Medium
5129,Moisturizer P 532,Sensitive,Moisturizer,Medium
2635,Cleanser G 198,Normal,Cleanser,Low
2694,Serum E 625,Oily,Serum,High
5709,Sunscreen H 971,Sensitive,Sunscreen,Medium
7120,Serum J 68,Dry,Serum,High
3917,Sunscreen C 542,Normal,Sunscreen,Medium
2201,Cleanser L 248,Sensitive,Cleanser,Medium
4414,Toner D 658,Sensitive,Toner,Low
2504,Toner N 567,Dry,Toner,Low
7713,Toner N 646,Dry,Toner,Low
6647,Sunscreen M 899,Oily,Sunscreen,Medium
6930,Sunscreen H 555,Sensitive,Sunscreen,Medium
6957,Sunscreen M 911,Oily,Sunscreen,Medium
137,Sunscreen R 505,Dry,Sunscreen,Medium
8118,Cleanser B 757,Dry,Cleanser,Medium
9074,Toner S 309,Normal,Toner,Medium
8834,Serum T 857,Sensitive,Serum,High
5024,Serum E 302,Oily,Serum,High
8278,Toner D 502,Sensitive,Toner,Low
6416,Sunscreen R 867,Dry,Sunscreen,Medium
4232,Sunscreen C 966,Normal,Sunscreen,Medium
8184,Moisturizer P 142,Sensitive,Moisturizer,Medium
4604,Sunscreen H 364,Sensitive,Sunscreen,Medium
4473,Toner S 419,Normal,Toner,Medium
2589,Cleanser Q 516,Oily,Cleanser,Low
156,Moisturizer P 749,Sensitive,Moisturizer,Medium
6306,Cleanser G 245,Normal,Cleanser,Low
5833,Sunscreen H 790,Sensitive,Sunscreen,Medium
5513,Serum O 803,Normal,Serum,High
6129,Moisturizer P 952,Sensitive,Moisturizer,Medium
6620,Sunscreen R 744,Dry,Sunscreen,Medium
4105,Toner S 288,Normal,Toner,Medium
4286,Moisturizer P 157,Sensitive,Moisturizer,Medium
494,Toner S 97,Normal,Toner,Medium
730,Toner D 29,Sensitive,Toner,Low
8774,Toner D 184,Sensitive,Toner,Low
2689,Serum O 497,Normal,Serum,High
2540,Cleanser B 135,Dry,Cleanser,Medium
9142,Toner N 267,Dry,Toner,Low
4189,Cleanser G 674,Normal,Cleanser,Low
2961,Toner N 17,Dry,Toner,Low
5418,Toner D 144,Sensitive,Toner,Low
8392,Sunscreen R 170,Dry,Sunscreen,Medium
3646,Cleanser G 774,Normal,Cleanser,Low
3900,Toner I 324,Oily,Toner,Medium
2624,Serum T 682,Sensitive,Serum,High
5170,Moisturizer F 370,Dry,Moisturizer,Medium
1780,Cleanser Q 658,Oily,Cleanser,Low
2617,Cleanser G 1000,Normal,Cleanser,Low
6875,Cleanser B 846,Dry,Cleanser,Medium
9248,Cleanser B 166,Dry,Cleanser,Medium
1413,Cleanser Q 59,Oily,Cleanser,Low
5373,Serum T 686,Sensitive,Serum,High
5543,Serum J 186,Dry,Serum,High
4644,Moisturizer P 561,Sensitive,Moisturizer,Medium
761,Cleanser B 126,Dry,Cleanser,Medium
7638,Moisturizer P 118,Sensitive,Moisturizer,Medium
5636,Sunscreen M 153,Oily,Sunscreen,Medium
7637,Serum O 871,Normal,Serum,High
3230,Moisturizer F 681,Dry,Moisturizer,Medium
6812,Moisturizer K 971,Normal,Moisturizer,Low
3497,Cleanser B 267,Dry,Cleanser,Medium
4557,Toner S 572,Normal,Toner,Medium
3988,Cleanser L 879,Sensitive,Cleanser,Medium
5918,Serum O 396,Normal,Serum,High
906,Sunscreen M 395,Oily,Sunscreen,Medium
4199,Serum J 66,Dry,Serum,High
4392,Moisturizer K 919,Normal,Moisturizer,Low
8993,Toner D 625,Sensitive,Toner,Low
1335,Toner N 70,Dry,Toner,Low
7434,Cleanser Q 60,Oily,Cleanser,Low
5468,Serum E 173,Oily,Serum,High
3907,Sunscreen C 369,Normal,Sunscreen,Medium
2518,Sunscreen C 722,Normal,Sunscreen,Medium
5311,Moisturizer K 412,Normal,Moisturizer,Low
7980,Sunscreen H 889,Sensitive,Sunscreen,Medium
9408,Toner S 922,Normal,Toner,Medium
5256,Sunscreen C 44,Normal,Sunscreen,Medium
157,Moisturizer K 51,Normal,Moisturizer,Low
3714,Serum T 557,Sensitive,Serum,High
7146,Serum T 993,Sensitive,Serum,High
7460,Sunscreen C 289,Normal,Sunscreen,Medium
6728,Moisturizer F 638,Dry,Moisturizer,Medium
6853,Moisturizer F 575,Dry,Moisturizer,Medium
6862,Sunscreen H 907,Sensitive,Sunscreen,Medium
3442,Serum E 52,Oily,Serum,High
