user_id,gender,age,height_cm,weight_kg,body_type,skin_tone,hair_type,hair_color
U37,Female,24,166,49,Rectangle,Fair,Wavy,Black
U38,Female,35,152,61,Apple,Medium,Wavy,Brown
U39,Female,21,149,46,Pear,Dark,Wavy,Brown
U40,Female,26,151,69,Hourglass,Medium,Curly,Blonde
U41,Female,29,145,56,Apple,Medium,Wavy,Black
U42,Female,32,153,56,Hourglass,Medium,Wavy,Blonde
U43,Female,19,152,54,Pear,Dark,Wavy,Brown
U44,Female,19,165,61,Rectangle,Fair,Curly,Blonde
U45,Female,32,159,71,Hourglass,Fair,Curly,Brown
U46,Female,34,161,61,Pear,Medium,Wavy,Brown
U47,Female,31,150,59,Hourglass,Medium,Straight,Black
U48,Female,31,173,69,Pear,Fair,Straight,Blonde
U49,Female,30,157,67,Rectangle,Medium,Wavy,Blonde
U50,Female,33,151,47,Rectangle,Medium,Wavy,Black
U51,Female,35,160,53,Pear,Fair,Straight,Blonde
U52,Female,19,162,49,Apple,Dark,Wavy,Black
U53,Female,26,169,64,Rectangle,Medium,Straight,Black
U54,Female,31,147,50,Rectangle,Dark,Straight,Brown
U55,Female,27,174,46,Pear,Medium,Curly,Black
U56,Female,19,159,69,Athletic,Dark,Wavy,Brown
U57,Female,31,159,50,Apple,Fair,Curly,Blonde
U58,Female,22,146,65,Rectangle,Fair,Straight,Brown
U59,Female,30,157,73,Athletic,Dark,Curly,Black
U60,Female,23,167,64,Athletic,Medium,Straight,Brown
U61,Female,32,162,57,Apple,Dark,Straight,Blonde
U62,Female,33,159,75,Rectangle,Medium,Curly,Brown
U63,Female,26,158,60,Athletic,Medium,Curly,Black
U64,Female,19,155,74,Pear,Medium,Curly,Brown
U65,Female,32,150,51,Apple,Fair,Straight,Black
U66,Female,34,157,61,Athletic,Fair,Wavy,Blonde
U67,Female,21,175,73,Rectangle,Fair,Wavy,Black
U68,Female,22,167,49,Rectangle,Medium,Straight,Brown
U69,Female,34,167,71,Hourglass,Dark,Curly,Black
U70,Female,20,155,68,Apple,Medium,Curly,Brown
U71,Female,23,163,58,Athletic,Fair,Wavy,Blonde
U72,Female,19,165,74,Pear,Fair,Wavy,Black
U73,Female,22,147,71,Apple,Fair,Wavy,Blonde
U74,Female,25,153,49,Hourglass,Fair,Wavy,Black
U75,Female,20,158,52,Apple,Fair,Straight,Blonde
U76,Female,27,151,56,Rectangle,Medium,Straight,Black
U77,Female,30,154,68,Apple,Fair,Wavy,Black
U78,Female,24,168,71,Rectangle,Dark,Straight,Brown
U79,Female,35,157,74,Rectangle,Medium,Curly,Blonde
U80,Female,25,165,69,Athletic,Dark,Straight,Black
U81,Female,18,150,55,Apple,Dark,Curly,Black
U82,Female,33,170,56,Apple,Fair,Straight,Brown
U83,Female,25,147,69,Apple,Medium,Straight,Black
U84,Female,19,145,62,Athletic,Fair,Wavy,Black
U85,Female,27,162,66,Pear,Fair,Curly,Black
U86,Female,31,151,47,Pear,Fair,Straight,Brown
U87,Female,26,155,70,Apple,Medium,Wavy,Brown
U88,Female,26,171,60,Athletic,Fair,Curly,Black
U89,Female,21,145,48,Athletic,Dark,Curly,Brown
U90,Female,28,166,61,Rectangle,Dark,Straight,Brown
U91,Female,26,170,50,Apple,Fair,Wavy,Brown
U92,Female,22,158,71,Hourglass,Fair,Curly,Brown
U93,Female,30,163,53,Pear,Dark,Straight,Brown
U94,Female,28,150,67,Athletic,Medium,Curly,Blonde
U95,Female,32,159,57,Rectangle,Medium,Wavy,Black
U96,Female,27,165,54,Athletic,Medium,Wavy,Blonde
U97,Female,24,165,65,Athletic,Dark,Wavy,Blonde
U98,Female,27,166,60,Pear,Medium,Curly,Brown
U99,Female,34,162,68,Apple,Fair,Curly,Brown
U100,Female,32,175,59,Pear,Dark,Wavy,Blonde
U101,Female,28,151,69,Pear,Dark,Straight,Black
U102,Female,30,152,49,Pear,Dark,Straight,Brown
U103,Female,29,173,61,Athletic,Fair,Wavy,Blonde
U104,Female,25,155,74,Apple,Dark,Straight,Black
U105,Female,20,168,71,Apple,Medium,Curly,Brown
U106,Female,21,152,74,Rectangle,Medium,Wavy,Blonde
U107,Female,35,146,45,Apple,Fair,Straight,Black
U108,Female,22,169,59,Pear,Fair,Wavy,Black
U109,Female,34,168,55,Athletic,Medium,Curly,Brown
U110,Female,29,158,46,Apple,Medium,Curly,Black
U111,Female,29,151,61,Rectangle,Dark,Curly,Blonde
U112,Female,31,175,49,Athletic,Fair,Wavy,Black
U113,Female,22,167,51,Pear,Dark,Wavy,Brown
U114,Female,33,156,50,Apple,Dark,Straight,Black
U115,Female,22,148,46,Pear,Dark,Straight,Black
U116,Female,26,155,46,Apple,Fair,Wavy,Blonde
U117,Female,32,149,59,Pear,Dark,Wavy,Blonde
U118,Female,30,148,63,Apple,Dark,Straight,Brown
U119,Female,23,159,53,Rectangle,Dark,Straight,Blonde
U120,Female,26,147,45,Apple,Medium,Curly,Black
U121,Female,34,171,73,Pear,Fair,Wavy,Brown
U122,Female,19,158,46,Hourglass,Medium,Curly,Brown
U123,Female,23,174,65,Pear,Fair,Straight,Black
U124,Female,35,170,48,Athletic,Dark,Wavy,Black
U125,Female,31,148,54,Apple,Dark,Wavy,Brown
U126,Female,18,150,59,Hourglass,Dark,Straight,Blonde
U127,Female,20,167,59,Apple,Dark,Straight,Blonde
U128,Female,21,151,73,Pear,Dark,Wavy,Blonde
U129,Female,23,170,72,Athletic,Medium,Curly,Blonde
U130,Female,21,174,68,Pear,Dark,Straight,Black
U131,Female,32,153,72,Hourglass,Fair,Curly,Black
U132,Female,22,174,68,Athletic,Fair,Curly,Black
U133,Female,27,173,57,Pear,Medium,Wavy,Black
U134,Female,27,154,55,Pear,Medium,Curly,Black
U135,Female,25,160,50,Hourglass,Medium,Wavy,Brown
U136,Female,20,146,50,Rectangle,Fair,Curly,Black
U137,Female,35,168,50,Athletic,Dark,Straight,Blonde
U138,Female,20,150,75,Hourglass,Fair,Wavy,Brown
U139,Female,22,174,60,Pear,Fair,Wavy,Brown
U140,Female,20,151,70,Apple,Fair,Wavy,Brown
U141,Female,33,158,51,Athletic,Medium,Straight,Black
U142,Female,18,152,69,Rectangle,Dark,Straight,Black
U143,Female,25,163,57,Hourglass,Fair,Straight,Brown
U144,Female,27,172,45,Hourglass,Medium,Straight,Blonde
U145,Female,20,146,47,Rectangle,Fair,Wavy,Brown
U146,Female,19,157,61,Hourglass,Medium,Curly,Brown
U147,Female,27,172,64,Pear,Dark,Straight,Brown
U148,Female,27,165,60,Pear,Fair,Straight,Blonde
U149,Female,22,153,60,Hourglass,Fair,Straight,Black
U150,Female,27,166,50,Apple,Fair,Straight,Brown
U151,Female,35,148,50,Athletic,Dark,Curly,Brown
U152,Female,28,151,53,Hourglass,Fair,Curly,Brown
U153,Female,20,166,73,Rectangle,Fair,Curly,Blonde
U154,Female,30,160,49,Hourglass,Medium,Curly,Brown
U155,Female,19,161,68,Pear,Fair,Wavy,Blonde
U156,Female,26,166,54,Rectangle,Fair,Curly,Brown
U157,Female,33,163,63,Hourglass,Medium,Curly,Blonde
U158,Female,35,146,64,Apple,Dark,Straight,Blonde
U159,Female,31,159,71,Apple,Medium,Wavy,Blonde
U160,Female,25,169,69,Apple,Medium,Straight,Brown
U161,Female,33,173,46,Hourglass,Dark,Curly,Blonde
U162,Female,26,172,64,Pear,Dark,Curly,Black
U163,Female,26,173,64,Pear,Fair,Curly,Black
U164,Female,28,165,57,Apple,Dark,Curly,Brown
U165,Female,18,153,72,Pear,Medium,Straight,Blonde
U166,Female,20,170,49,Apple,Fair,Wavy,Black
U167,Female,35,158,63,Apple,Fair,Straight,Brown
U168,Female,27,167,59,Hourglass,Medium,Curly,Black
U169,Female,26,147,45,Rectangle,Dark,Straight,Brown
U170,Female,21,162,54,Hourglass,Fair,Curly,Brown
U171,Female,21,174,58,Pear,Medium,Wavy,Black
U172,Female,25,171,58,Athletic,Fair,Curly,Black
U173,Female,31,159,71,Hourglass,Dark,Wavy,Blonde
U174,Female,31,161,59,Apple,Fair,Curly,Brown
U175,Female,21,162,58,Rectangle,Fair,Straight,Brown
U176,Female,26,145,63,Pear,Dark,Straight,Brown
U177,Female,31,166,67,Apple,Dark,Straight,Brown
U178,Female,20,171,71,Hourglass,Fair,Straight,Blonde
U179,Female,22,171,52,Apple,Medium,Straight,Blonde
U180,Female,23,174,68,Rectangle,Fair,Curly,Blonde
U181,Female,18,147,61,Pear,Dark,Straight,Blonde
U182,Female,31,160,64,Athletic,Fair,Wavy,Black
U183,Female,23,167,72,Apple,Medium,Wavy,Blonde
U184,Female,28,153,47,Hourglass,Dark,Wavy,Black
U185,Female,18,155,54,Hourglass,Fair,Wavy,Blonde
U186,Female,19,171,47,Rectangle,Medium,Curly,Brown
U187,Female,19,145,57,Athletic,Fair,Curly,Blonde
U188,Female,35,161,71,Hourglass,Dark,Straight,Blonde
U189,Female,32,173,65,Rectangle,Dark,Straight,Blonde
U190,Female,26,157,64,Rectangle,Fair,Curly,Black
U191,Female,25,166,45,Rectangle,Medium,Straight,Black
U192,Female,28,156,74,Pear,Fair,Straight,Blonde
U193,Female,18,173,71,Hourglass,Medium,Wavy,Black
U194,Female,31,171,59,Hourglass,Medium,Curly,Brown
U195,Female,23,171,65,Pear,Dark,Wavy,Brown
U196,Female,30,147,64,Apple,Dark,Wavy,Blonde
U197,Female,28,170,74,Pear,Fair,Wavy,Blonde
U198,Female,18,170,50,Hourglass,Fair,Curly,Black
U199,Female,30,162,51,Athletic,Fair,Curly,Blonde
U200,Female,22,168,53,Pear,Dark,Straight,Blonde
U201,Female,29,165,56,Rectangle,Fair,Curly,Brown
U202,Female,23,171,58,Athletic,Medium,Wavy,Black
U203,Female,29,165,49,Athletic,Medium,Curly,Black
U204,Female,22,156,62,Hourglass,Fair,Curly,Brown
U205,Female,24,174,53,Athletic,Medium,Curly,Black
U206,Female,34,173,69,Rectangle,Dark,Curly,Blonde
U207,Female,29,151,59,Athletic,Dark,Wavy,Black
U208,Female,27,172,74,Pear,Dark,Curly,Blonde
U209,Female,29,153,58,Rectangle,Medium,Straight,Brown
U210,Female,28,170,59,Apple,Medium,Wavy,Brown
U211,Female,25,172,64,Athletic,Dark,Curly,Black
U212,Female,33,163,63,Apple,Dark,Curly,Black
U213,Female,29,173,51,Athletic,Medium,Straight,Blonde
U214,Female,27,146,72,Rectangle,Dark,Wavy,Brown
U215,Female,25,147,70,Pear,Fair,Straight,Blonde
U216,Female,25,156,48,Athletic,Dark,Straight,Black
U217,Female,19,169,52,Rectangle,Dark,Curly,Brown
U218,Female,30,151,49,Rectangle,Dark,Curly,Black
U219,Female,26,173,72,Hourglass,Medium,Curly,Blonde
U220,Female,24,159,71,Rectangle,Dark,Curly,Black
U221,Female,35,150,75,Pear,Fair,Curly,Brown
U222,Female,33,171,74,Athletic,Dark,Wavy,Black
U223,Female,22,173,68,Rectangle,Fair,Wavy,Blonde
U224,Female,33,163,58,Rectangle,Dark,Curly,Black
U225,Female,21,152,62,Hourglass,Fair,Wavy,Blonde
U226,Female,18,171,68,Rectangle,Fair,Straight,Blonde
U227,Female,29,152,55,Pear,Dark,Straight,Black
U228,Female,33,171,72,Pear,Dark,Curly,Blonde
U229,Female,33,172,58,Athletic,Fair,Straight,Black
U230,Female,25,153,61,Hourglass,Medium,Straight,Black
U231,Female,32,166,56,Apple,Fair,Straight,Black
U232,Female,34,150,49,Athletic,Medium,Curly,Blonde
U233,Female,23,175,73,Athletic,Dark,Curly,Blonde
U234,Female,20,145,68,Pear,Fair,Straight,Brown
U235,Female,30,161,54,Rectangle,Fair,Straight,Black
U236,Female,29,160,50,Rectangle,Fair,Wavy,Brown
U237,Female,33,146,61,Athletic,Medium,Straight,Brown
U238,Female,27,164,63,Athletic,Fair,Straight,Black
U239,Female,23,149,47,Pear,Dark,Curly,Blonde
U240,Female,35,152,51,Pear,Dark,Curly,Black
U241,Female,21,162,65,Apple,Fair,Straight,Blonde
U242,Female,31,165,69,Rectangle,Fair,Wavy,Brown
U243,Female,26,175,67,Hourglass,Dark,Straight,Brown
U244,Female,22,163,67,Apple,Fair,Wavy,Brown
U245,Female,29,146,65,Hourglass,Dark,Wavy,Brown
U246,Female,24,175,70,Pear,Dark,Straight,Blonde
U247,Female,25,153,63,Hourglass,Medium,Wavy,Brown
U248,Female,35,165,65,Pear,Medium,Curly,Brown
U249,Female,26,173,53,Pear,Dark,Curly,Brown
U250,Female,27,147,53,Apple,Medium,Wavy,Blonde
U251,Female,26,170,63,Hourglass,Fair,Straight,Brown
U252,Female,30,146,50,Pear,Medium,Straight,Blonde
U253,Female,24,149,74,Pear,Fair,Straight,Blonde
U254,Female,18,169,50,Pear,Medium,Wavy,Blonde
U255,Female,25,162,70,Apple,Fair,Wavy,Black
U256,Female,31,145,59,Rectangle,Dark,Wavy,Blonde
U257,Female,25,149,67,Pear,Fair,Straight,Blonde
U258,Female,35,165,55,Hourglass,Fair,Wavy,Black
U259,Female,34,150,64,Pear,Fair,Wavy,Brown
U260,Female,18,153,57,Rectangle,Medium,Wavy,Brown
U261,Female,18,164,63,Pear,Dark,Wavy,Blonde
U262,Female,20,154,62,Hourglass,Medium,Curly,Black
U263,Female,19,174,63,Athletic,Dark,Wavy,Black
U264,Female,23,165,66,Apple,Dark,Straight,Brown
U265,Female,27,147,56,Athletic,Dark,Straight,Blonde
U266,Female,35,154,50,Apple,Medium,Curly,Blonde
U267,Female,35,162,60,Pear,Dark,Curly,Brown
U268,Female,32,175,54,Hourglass,Fair,Straight,Brown
U269,Female,28,161,60,Apple,Dark,Curly,Brown
U270,Female,20,148,75,Pear,Fair,Curly,Brown
U271,Female,31,151,75,Apple,Fair,Curly,Blonde
U272,Female,21,174,60,Pear,Fair,Straight,Brown
U273,Female,34,157,59,Pear,Medium,Wavy,Black
U274,Female,18,153,71,Rectangle,Dark,Curly,Brown
U275,Female,20,150,73,Hourglass,Dark,Curly,Brown
U276,Female,24,160,47,Apple,Fair,Straight,Blonde
U277,Female,20,175,54,Pear,Fair,Wavy,Blonde
U278,Female,35,163,48,Pear,Dark,Curly,Black
U279,Female,27,156,70,Rectangle,Fair,Curly,Blonde
U280,Female,25,168,69,Apple,Medium,Curly,Blonde
U281,Female,25,159,46,Pear,Dark,Curly,Black
U282,Female,32,169,69,Pear,Fair,Straight,Black
U283,Female,18,171,51,Athletic,Dark,Straight,Black
U284,Female,30,159,51,Apple,Medium,Curly,Brown
U285,Female,31,149,73,Rectangle,Dark,Wavy,Blonde
U286,Female,26,173,63,Hourglass,Medium,Wavy,Blonde
U287,Female,26,155,49,Hourglass,Dark,Straight,Black
U288,Female,24,146,69,Pear,Fair,Wavy,Brown
U289,Female,20,172,47,Rectangle,Dark,Straight,Black
U290,Female,24,171,61,Hourglass,Dark,Straight,Blonde
U291,Female,27,151,59,Athletic,Fair,Curly,Brown
U292,Female,33,174,47,Athletic,Fair,Wavy,Blonde
U293,Female,21,170,58,Rectangle,Fair,Wavy,Blonde
U294,Female,31,161,69,Rectangle,Fair,Wavy,Black
U295,Female,22,159,66,Pear,Dark,Wavy,Brown
U296,Female,33,145,56,Pear,Dark,Curly,Black
U297,Female,20,158,67,Athletic,Dark,Curly,Brown
U298,Female,30,147,46,Athletic,Medium,Curly,Black
U299,Female,28,152,48,Athletic,Fair,Curly,Black
U300,Female,32,174,47,Pear,Dark,Curly,Brown
U301,Female,19,148,75,Rectangle,Fair,Straight,Brown
U302,Female,31,170,67,Athletic,Medium,Curly,Brown
U303,Female,35,145,59,Athletic,Medium,Curly,Brown
U304,Female,35,161,56,Athletic,Fair,Curly,Brown
U305,Female,29,165,47,Hourglass,Medium,Curly,Brown
U306,Female,21,166,63,Pear,Fair,Curly,Blonde
U307,Female,20,161,63,Hourglass,Medium,Straight,Blonde
U308,Female,33,145,45,Apple,Medium,Wavy,Brown
U309,Female,27,159,74,Pear,Medium,Straight,Blonde
U310,Female,22,172,71,Rectangle,Medium,Wavy,Black
U311,Female,34,166,75,Athletic,Medium,Straight,Black
U312,Female,29,155,68,Hourglass,Dark,Curly,Blonde
U313,Female,25,160,49,Athletic,Dark,Wavy,Brown
U314,Female,19,157,64,Apple,Medium,Straight,Black
U315,Female,26,146,52,Apple,Fair,Wavy,Black
U316,Female,26,155,63,Hourglass,Medium,Wavy,Blonde
U317,Female,25,151,55,Apple,Dark,Straight,Blonde
U318,Female,20,166,60,Apple,Medium,Straight,Black
U319,Female,18,157,64,Hourglass,Medium,Wavy,Brown
U320,Female,21,170,71,Apple,Fair,Wavy,Black
U321,Female,25,154,68,Apple,Fair,Curly,Blonde
U322,Female,35,168,55,Apple,Medium,Wavy,Blonde
U323,Female,27,160,47,Pear,Dark,Curly,Blonde
U324,Female,35,163,45,Pear,Dark,Curly,Black
U325,Female,22,157,71,Pear,Medium,Curly,Brown
U326,Female,23,162,67,Rectangle,Fair,Curly,Black
U327,Female,23,156,55,Athletic,Dark,Straight,Blonde
U328,Female,21,154,61,Apple,Dark,Wavy,Brown
U329,Female,29,150,48,Apple,Fair,Curly,Blonde
U330,Female,34,160,53,Rectangle,Fair,Curly,Black
U331,Female,30,149,74,Athletic,Dark,Curly,Black
U332,Female,35,163,53,Rectangle,Medium,Wavy,Brown
U333,Female,18,154,60,Athletic,Dark,Wavy,Blonde
U334,Female,21,164,54,Rectangle,Fair,Curly,Brown
U335,Female,35,175,61,Pear,Dark,Wavy,Brown
U336,Female,23,168,59,Hourglass,Dark,Curly,Brown
U337,Female,23,174,53,Apple,Fair,Wavy,Black
U338,Female,23,166,61,Rectangle,Dark,Wavy,Brown
U339,Female,18,174,73,Rectangle,Medium,Curly,Blonde
U340,Female,34,147,52,Rectangle,Fair,Curly,Blonde
U341,Female,23,173,67,Apple,Medium,Curly,Black
U342,Female,25,175,74,Athletic,Medium,Straight,Brown
U343,Female,25,148,49,Hourglass,Dark,Wavy,Blonde
U344,Female,24,149,56,Hourglass,Fair,Straight,Blonde
U345,Female,19,161,64,Rectangle,Medium,Straight,Black
U346,Female,27,165,66,Pear,Fair,Wavy,Brown
U347,Female,25,175,74,Athletic,Dark,Straight,Blonde
U348,Female,30,148,75,Athletic,Fair,Curly,Brown
U349,Female,18,151,56,Pear,Fair,Wavy,Brown
U350,Female,33,163,45,Rectangle,Medium,Straight,Brown
U351,Female,18,156,67,Hourglass,Dark,Curly,Blonde
U352,Female,29,170,64,Athletic,Medium,Straight,Black
U353,Female,20,151,55,Pear,Medium,Curly,Blonde
U354,Female,22,146,65,Rectangle,Dark,Wavy,Black
U355,Female,33,172,66,Apple,Fair,Straight,Brown
U356,Female,25,168,70,Hourglass,Dark,Curly,Blonde
U357,Female,30,171,45,Apple,Fair,Wavy,Brown
U358,Female,20,167,56,Hourglass,Medium,Straight,Black
U359,Female,31,173,68,Hourglass,Fair,Straight,Black
U360,Female,27,159,64,Hourglass,Medium,Curly,Black
U361,Female,21,162,52,Hourglass,Medium,Curly,Brown
U362,Female,21,147,64,Athletic,Fair,Curly,Black
U363,Female,19,175,70,Hourglass,Dark,Straight,Brown
U364,Female,34,173,71,Pear,Dark,Wavy,Blonde
U365,Female,19,154,52,Rectangle,Dark,Wavy,Blonde
U366,Female,30,161,69,Apple,Medium,Straight,Black
U367,Female,26,166,71,Pear,Medium,Wavy,Black
U368,Female,31,149,74,Rectangle,Dark,Wavy,Black
U369,Female,35,171,56,Athletic,Medium,Wavy,Blonde
U370,Female,19,162,54,Hourglass,Dark,Curly,Black
U371,Female,21,153,56,Pear,Fair,Wavy,Brown
U372,Female,27,167,63,Hourglass,Dark,Straight,Black
U373,Female,30,175,56,Athletic,Fair,Straight,Brown
U374,Female,34,156,50,Apple,Dark,Curly,Black
U375,Female,31,157,48,Athletic,Dark,Straight,Blonde
U376,Female,25,153,52,Apple,Medium,Wavy,Black
U377,Female,25,153,65,Pear,Medium,Wavy,Brown
U378,Female,33,150,54,Hourglass,Medium,Straight,Brown
U379,Female,20,172,69,Rectangle,Dark,Straight,Blonde
U380,Female,35,171,55,Pear,Fair,Wavy,Black
U381,Female,21,158,64,Rectangle,Medium,Wavy,Black
U382,Female,18,155,69,Hourglass,Dark,Curly,Black
U383,Female,21,158,46,Hourglass,Fair,Wavy,Black
U384,Female,26,175,71,Apple,Fair,Straight,Brown
U385,Female,28,168,67,Apple,Fair,Wavy,Brown
U386,Female,25,167,69,Athletic,Medium,Wavy,Blonde
U387,Female,24,162,71,Pear,Medium,Curly,Blonde
U388,Female,27,173,51,Hourglass,Dark,Straight,Blonde
U389,Female,19,151,48,Rectangle,Medium,Wavy,Black
U390,Female,30,153,74,Pear,Medium,Curly,Blonde
U391,Female,21,167,50,Athletic,Medium,Wavy,Blonde
U392,Female,20,156,54,Athletic,Dark,Curly,Brown
U393,Female,21,146,67,Hourglass,Dark,Straight,Brown
U394,Female,21,161,56,Rectangle,Dark,Curly,Blonde
U395,Female,27,155,49,Athletic,Fair,Straight,Blonde
U396,Female,30,145,69,Rectangle,Fair,Straight,Brown
U397,Female,24,148,68,Rectangle,Medium,Curly,Black
U398,Female,35,158,60,Apple,Fair,Curly,Brown
U399,Female,26,149,57,Rectangle,Medium,Wavy,Blonde
U400,Female,24,148,75,Apple,Medium,Curly,Blonde
U401,Female,20,159,72,Pear,Dark,Curly,Black
U402,Female,25,175,60,Hourglass,Dark,Curly,Black
U403,Female,34,162,70,Rectangle,Fair,Straight,Black
U404,Female,23,154,63,Apple,Dark,Curly,Brown
U405,Female,20,169,66,Pear,Medium,Wavy,Brown
U406,Female,18,161,71,Apple,Medium,Wavy,Brown
U407,Female,33,157,72,Rectangle,Medium,Curly,Black
U408,Female,32,170,58,Hourglass,Fair,Curly,Black
U409,Female,29,146,63,Apple,Fair,Wavy,Black
U410,Female,31,171,65,Hourglass,Medium,Curly,Black
U411,Female,28,163,60,Rectangle,Dark,Curly,Black
U412,Female,34,173,59,Apple,Medium,Straight,Brown
U413,Female,19,162,67,Athletic,Medium,Wavy,Black
U414,Female,18,153,55,Athletic,Fair,Curly,Brown
U415,Female,21,162,70,Hourglass,Fair,Wavy,Brown
U416,Female,24,151,75,Hourglass,Dark,Wavy,Blonde
U417,Female,27,167,68,Hourglass,Dark,Straight,Brown
U418,Female,23,157,70,Rectangle,Medium,Curly,Brown
U419,Female,23,160,68,Rectangle,Dark,Straight,Brown
U420,Female,19,150,49,Athletic,Fair,Curly,Black
U421,Female,31,175,59,Athletic,Dark,Curly,Blonde
U422,Female,21,165,49,Hourglass,Dark,Straight,Blonde
U423,Female,18,168,51,Hourglass,Dark,Wavy,Black
U424,Female,19,170,60,Hourglass,Fair,Curly,Black
U425,Female,27,153,56,Apple,Fair,Curly,Black
U426,Female,32,174,54,Athletic,Dark,Curly,Brown
U427,Female,20,171,61,Apple,Fair,Straight,Black
U428,Female,22,168,48,Rectangle,Dark,Straight,Blonde
U429,Female,22,157,59,Athletic,Fair,Straight,Black
U430,Female,28,151,49,Pear,Medium,Wavy,Brown
U431,Female,29,151,48,Apple,Medium,Curly,Brown
U432,Female,31,151,46,Apple,Fair,Straight,Blonde
U433,Female,35,149,56,Athletic,Fair,Curly,Brown
U434,Female,32,169,48,Athletic,Medium,Straight,Black
U435,Female,34,161,64,Hourglass,Dark,Curly,Brown
U436,Female,24,152,59,Pear,Fair,Straight,Black
U437,Female,34,158,49,Apple,Dark,Wavy,Black
U438,Female,23,166,54,Pear,Dark,Straight,Blonde
U439,Female,33,148,62,Hourglass,Medium,Curly,Blonde
U440,Female,24,158,62,Pear,Dark,Straight,Black
U441,Female,29,150,50,Rectangle,Fair,Wavy,Black
U442,Female,33,145,54,Athletic,Dark,Wavy,Black
U443,Female,25,148,50,Apple,Fair,Curly,Black
U444,Female,22,152,50,Hourglass,Fair,Curly,Black
U445,Female,31,145,68,Hourglass,Dark,Straight,Blonde
U446,Female,26,151,74,Apple,Medium,Curly,Blonde
U447,Female,27,162,46,Pear,Fair,Straight,Black
U448,Female,28,163,62,Athletic,Medium,Straight,Black
U449,Female,23,161,45,Hourglass,Fair,Straight,Black
U450,Female,24,154,57,Pear,Fair,Curly,Black
U451,Female,28,146,72,Apple,Dark,Straight,Blonde
U452,Female,30,153,52,Pear,Fair,Curly,Black
U453,Female,27,146,58,Apple,Fair,Wavy,Brown
U454,Female,26,172,57,Pear,Medium,Curly,Black
U455,Female,25,158,59,Apple,Fair,Wavy,Brown
U456,Female,20,152,62,Athletic,Medium,Straight,Brown
U457,Female,19,159,50,Athletic,Dark,Wavy,Blonde
U458,Female,35,153,73,Rectangle,Medium,Wavy,Blonde
U459,Female,24,153,66,Pear,Fair,Straight,Blonde
U460,Female,35,166,67,Hourglass,Fair,Wavy,Brown
U461,Female,22,157,58,Rectangle,Medium,Curly,Brown
U462,Female,21,147,47,Hourglass,Fair,Straight,Black
U463,Female,35,162,50,Hourglass,Fair,Straight,Blonde
U464,Female,25,160,56,Athletic,Fair,Curly,Black
U465,Female,19,170,64,Pear,Fair,Straight,Brown
U466,Female,18,175,73,Athletic,Fair,Curly,Blonde
U467,Female,31,154,48,Hourglass,Medium,Curly,Brown
U468,Female,20,149,49,Athletic,Dark,Wavy,Black
U469,Female,24,148,69,Hourglass,Dark,Straight,Blonde
U470,Female,24,171,47,Apple,Dark,Straight,Brown
U471,Female,23,170,45,Apple,Medium,Curly,Brown
U472,Female,33,161,58,Hourglass,Fair,Wavy,Black
U473,Female,20,169,63,Pear,Dark,Curly,Brown
U474,Female,28,148,64,Pear,Medium,Wavy,Black
U475,Female,24,169,65,Pear,Medium,Wavy,Brown
