dress_id,category,fit_type,primary_color,fabric,event_type
D74,lehenga,slim,red,silk,formal
D75,gown,loose,green,cotton,formal
D76,saree,slim,red,cotton,party
D77,gown,loose,black,velvet,formal
D78,lehenga,slim,green,silk,party
D79,saree,regular,green,silk,festival
D80,lehenga,regular,black,net,reception
D81,lehenga,regular,pink,silk,party
D82,lehenga,loose,pink,cotton,wedding
D83,suit,loose,red,cotton,wedding
D84,gown,loose,pink,net,formal
D85,kurti,slim,black,net,party
D86,saree,regular,black,velvet,wedding
D87,lehenga,regular,red,silk,reception
D88,saree,regular,black,cotton,festival
D89,lehenga,regular,pink,silk,formal
D90,kurti,regular,blue,cotton,wedding
D91,gown,regular,green,cotton,college
D92,lehenga,loose,pink,net,festival
D93,suit,regular,black,silk,college
D94,gown,regular,black,cotton,wedding
D95,lehenga,regular,pink,net,party
D96,unknown,loose,green,velvet,formal
D97,saree,regular,black,silk,wedding
D98,suit,loose,blue,cotton,formal
D99,lehenga,regular,blue,cotton,party
D100,saree,regular,red,velvet,reception
D101,kurti,regular,green,silk,formal
D102,lehenga,regular,pink,net,festival
D103,suit,regular,pink,net,unknown
D104,kurti,regular,black,net,formal
D105,kurti,loose,green,net,festival
D106,suit,slim,blue,velvet,festival
D107,lehenga,loose,green,velvet,festival
D108,lehenga,loose,red,velvet,festival
D109,suit,regular,black,velvet,party
D110,saree,regular,black,silk,reception
D111,kurti,loose,black,net,festival
D112,saree,loose,red,velvet,wedding
D113,kurti,regular,red,cotton,party
D114,lehenga,slim,pink,cotton,festival
D115,saree,slim,pink,silk,festival
D116,unknown,slim,red,cotton,college
D117,lehenga,regular,green,silk,festival
D118,suit,loose,blue,velvet,wedding
D119,lehenga,slim,blue,velvet,festival
D120,saree,loose,blue,silk,reception
D121,lehenga,loose,pink,velvet,party
D122,lehenga,slim,black,net,unknown
D123,gown,regular,green,net,formal
D124,kurti,regular,black,net,college
D125,kurti,regular,red,velvet,formal
D126,gown,loose,pink,cotton,festival
D127,gown,slim,black,silk,formal
D128,saree,slim,green,net,party
D129,unknown,regular,pink,velvet,college
D130,saree,regular,pink,velvet,college
D131,suit,slim,blue,net,festival
D132,kurti,regular,black,cotton,party
D133,gown,loose,blue,net,party
D134,lehenga,slim,black,cotton,wedding
D135,saree,regular,black,cotton,party
D136,suit,slim,black,net,reception
D137,kurti,slim,black,silk,party
D138,gown,regular,pink,net,festival
D139,saree,regular,pink,net,reception
D140,saree,regular,black,velvet,wedding
D141,suit,regular,black,net,reception
D142,gown,regular,black,velvet,formal
D143,lehenga,regular,red,silk,formal
D144,lehenga,loose,pink,silk,formal
D145,lehenga,regular,pink,silk,formal
D146,lehenga,slim,green,silk,college
D147,kurti,slim,red,silk,formal
D148,gown,loose,green,velvet,festival
D149,kurti,slim,red,velvet,formal
D150,gown,loose,red,net,wedding
D151,lehenga,loose,red,cotton,party
D152,suit,regular,pink,velvet,reception
D153,suit,regular,green,cotton,festival
D154,lehenga,loose,red,net,wedding
D155,suit,slim,pink,velvet,college
D156,kurti,regular,blue,net,college
D157,kurti,regular,pink,cotton,wedding
D158,suit,regular,pink,velvet,party
D159,unknown,regular,pink,velvet,formal
D160,kurti,slim,green,silk,wedding
D161,suit,slim,pink,net,formal
D162,lehenga,regular,pink,net,wedding
D163,kurti,slim,green,cotton,wedding
D164,lehenga,slim,red,cotton,formal
D165,suit,regular,blue,net,party
D166,suit,slim,blue,velvet,reception
D167,kurti,regular,blue,cotton,wedding
D168,kurti,loose,blue,net,college
D169,gown,loose,green,cotton,festival
D170,gown,slim,black,cotton,wedding
D171,unknown,regular,pink,velvet,formal
D172,lehenga,slim,pink,velvet,college
D173,gown,loose,pink,net,wedding
D174,lehenga,loose,green,cotton,party
D175,unknown,loose,blue,velvet,wedding
D176,kurti,loose,green,cotton,wedding
D177,gown,loose,pink,silk,unknown
D178,lehenga,loose,blue,cotton,festival
D179,saree,regular,black,net,formal
D180,gown,regular,green,net,party
D181,kurti,regular,black,cotton,unknown
D182,saree,slim,green,cotton,party
D183,suit,slim,pink,silk,festival
D184,kurti,slim,red,silk,formal
D185,saree,regular,pink,silk,formal
D186,kurti,loose,green,silk,festival
D187,kurti,regular,black,velvet,reception
D188,lehenga,loose,green,silk,reception
D189,saree,slim,red,velvet,reception
D190,lehenga,slim,black,net,wedding
D191,lehenga,slim,black,cotton,party
D192,lehenga,loose,black,silk,party
D193,lehenga,slim,red,cotton,reception
D194,suit,slim,green,cotton,college
D195,kurti,slim,blue,silk,formal
D196,saree,regular,red,cotton,wedding
D197,saree,slim,pink,cotton,festival
D198,saree,slim,blue,silk,wedding
D199,suit,loose,black,cotton,college
D200,gown,slim,green,cotton,reception
